Cloud_value,Snow depth [cm],Solar Radiation (kW-hr/m^2/day),Average temperature [°C],Date,Ski Center Name,Latitude
8.0,22.0,0.18,-6.6,2022-01-01,Himos,61.825
8.0,21.0,0.12,-8.1,2022-01-02,Himos,61.825
8.0,28.0,0.14,-6.3,2022-01-03,Himos,61.825
8.0,27.0,0.13,-5.6,2022-01-04,Himos,61.825
8.0,30.0,0.15,-2.7,2022-01-05,Himos,61.825
8.0,32.0,0.17,-8.6,2022-01-06,Himos,61.825
0.0,32.0,0.2,-9.9,2022-01-07,Himos,61.825
8.0,31.0,0.21,-9.2,2022-01-08,Himos,61.825
8.0,32.0,0.15,-11.3,2022-01-09,Himos,61.825
8.0,31.0,0.33,-21.1,2022-01-10,Himos,61.825
0.0,31.0,0.2,-14.5,2022-01-11,Himos,61.825
8.0,31.0,0.15,-0.9,2022-01-12,Himos,61.825
8.0,28.0,0.19,2.7,2022-01-13,Himos,61.825
7.0,25.0,0.25,-0.3,2022-01-14,Himos,61.825
7.0,25.0,0.38,-2.3,2022-01-15,Himos,61.825
3.0,25.0,0.2,-2.0,2022-01-16,Himos,61.825
7.0,27.0,0.39,-4.0,2022-01-17,Himos,61.825
0.0,26.0,0.28,-5.1,2022-01-18,Himos,61.825
6.0,26.0,0.16,0.1,2022-01-19,Himos,61.825
8.0,25.0,0.12,-1.4,2022-01-20,Himos,61.825
2.0,30.0,0.25,-4.2,2022-01-21,Himos,61.825
8.0,29.0,0.35,-9.4,2022-01-22,Himos,61.825
8.0,30.0,0.25,-3.8,2022-01-23,Himos,61.825
8.0,30.0,0.27,0.4,2022-01-24,Himos,61.825
0.0,29.0,0.64,-4.6,2022-01-25,Himos,61.825
0.0,28.0,0.29,-4.6,2022-01-26,Himos,61.825
8.0,32.0,0.25,-0.6,2022-01-27,Himos,61.825
8.0,34.0,0.29,-2.6,2022-01-28,Himos,61.825
0.0,34.0,0.25,-4.9,2022-01-29,Himos,61.825
8.0,48.0,0.22,-4.4,2022-01-30,Himos,61.825
8.0,53.0,0.3,-7.3,2022-01-31,Himos,61.825
8.0,52.0,0.42,-10.9,2022-02-01,Himos,61.825
8.0,53.0,0.46,-11.5,2022-02-02,Himos,61.825
5.0,52.0,0.54,-14.3,2022-02-03,Himos,61.825
9.0,51.0,0.29,-7.2,2022-02-04,Himos,61.825
8.0,-1.0,4.31,2.8,2022-04-26,Himos,61.825
0.0,-1.0,4.53,0.4,2022-04-27,Himos,61.825
1.0,-1.0,4.16,0.0,2022-04-28,Himos,61.825
6.0,-1.0,4.92,0.3,2022-04-29,Himos,61.825
0.0,-1.0,4.91,3.7,2022-04-30,Himos,61.825
8.0,-1.0,4.25,4.5,2022-05-01,Himos,61.825
2.0,-1.0,3.56,6.5,2022-05-02,Himos,61.825
0.0,-1.0,4.52,1.8,2022-05-03,Himos,61.825
0.0,-1.0,4.43,2.4,2022-05-04,Himos,61.825
0.0,-1.0,4.56,6.8,2022-05-05,Himos,61.825
8.0,-1.0,5.59,10.9,2022-05-06,Himos,61.825
0.0,-1.0,3.61,6.5,2022-05-07,Himos,61.825
0.0,-1.0,5.51,4.6,2022-05-08,Himos,61.825
0.0,-1.0,4.34,6.2,2022-05-09,Himos,61.825
0.0,-1.0,5.23,10.1,2022-05-10,Himos,61.825
8.0,-1.0,2.94,8.8,2022-05-11,Himos,61.825
0.0,-1.0,3.73,8.5,2022-05-12,Himos,61.825
8.0,-1.0,6.02,10.1,2022-05-13,Himos,61.825
0.0,-1.0,5.29,8.4,2022-05-14,Himos,61.825
8.0,-1.0,4.4,8.0,2022-05-15,Himos,61.825
8.0,-1.0,4.97,8.3,2022-05-16,Himos,61.825
0.0,-1.0,3.89,5.1,2022-05-17,Himos,61.825
1.0,-1.0,6.88,10.5,2022-05-18,Himos,61.825
0.0,-1.0,5.38,9.3,2022-05-19,Himos,61.825
0.0,-1.0,7.03,10.1,2022-05-20,Himos,61.825
0.0,-1.0,7.42,9.5,2022-05-21,Himos,61.825
0.0,-1.0,7.38,10.8,2022-05-22,Himos,61.825
0.0,-1.0,6.66,13.7,2022-05-23,Himos,61.825
0.0,-1.0,7.39,15.4,2022-05-24,Himos,61.825
0.0,-1.0,6.56,16.2,2022-05-25,Himos,61.825
8.0,-1.0,2.45,10.4,2022-05-26,Himos,61.825
8.0,-1.0,4.18,10.3,2022-05-27,Himos,61.825
8.0,-1.0,4.2,11.0,2022-05-28,Himos,61.825
2.0,-1.0,5.36,11.6,2022-05-29,Himos,61.825
8.0,-1.0,4.68,12.9,2022-05-30,Himos,61.825
6.0,-1.0,2.86,12.4,2022-05-31,Himos,61.825
8.0,-1.0,4.89,13.2,2022-06-01,Himos,61.825
7.0,-1.0,2.61,11.7,2022-06-02,Himos,61.825
8.0,-1.0,4.17,11.9,2022-06-03,Himos,61.825
8.0,-1.0,5.01,13.8,2022-06-04,Himos,61.825
7.0,-1.0,3.27,11.1,2022-06-05,Himos,61.825
0.0,-1.0,8.48,12.2,2022-06-06,Himos,61.825
0.0,-1.0,7.85,15.9,2022-06-07,Himos,61.825
5.0,-1.0,2.67,12.5,2022-06-08,Himos,61.825
9.0,-1.0,4.46,14.8,2022-06-09,Himos,61.825
8.0,-1.0,4.86,13.8,2022-06-10,Himos,61.825
0.0,-1.0,5.17,17.3,2022-06-11,Himos,61.825
0.0,-1.0,6.19,16.6,2022-06-12,Himos,61.825
0.0,-1.0,5.28,14.2,2022-06-13,Himos,61.825
7.0,-1.0,6.12,13.8,2022-06-14,Himos,61.825
0.0,-1.0,6.81,15.5,2022-06-15,Himos,61.825
0.0,-1.0,4.65,12.7,2022-06-16,Himos,61.825
8.0,-1.0,4.98,13.0,2022-06-17,Himos,61.825
0.0,-1.0,2.3,13.1,2022-06-18,Himos,61.825
7.0,-1.0,4.38,11.7,2022-06-19,Himos,61.825
3.0,-1.0,6.22,14.1,2022-06-20,Himos,61.825
0.0,-1.0,6.43,15.8,2022-06-21,Himos,61.825
5.0,-1.0,5.36,15.8,2022-06-22,Himos,61.825
7.0,-1.0,4.43,17.4,2022-06-23,Himos,61.825
0.0,-1.0,7.97,20.9,2022-06-24,Himos,61.825
0.0,-1.0,7.98,22.3,2022-06-25,Himos,61.825
0.0,-1.0,7.98,23.3,2022-06-26,Himos,61.825
0.0,-1.0,7.05,23.9,2022-06-27,Himos,61.825
0.0,-1.0,6.55,24.0,2022-06-28,Himos,61.825
0.0,-1.0,6.96,22.8,2022-06-29,Himos,61.825
0.0,-1.0,8.21,22.8,2022-06-30,Himos,61.825
0.0,-1.0,6.85,23.4,2022-07-01,Himos,61.825
8.0,-1.0,5.49,24.1,2022-07-02,Himos,61.825
8.0,-1.0,7.25,21.4,2022-07-03,Himos,61.825
0.0,-1.0,7.25,20.4,2022-07-04,Himos,61.825
0.0,-1.0,5.43,16.9,2022-07-05,Himos,61.825
0.0,-1.0,5.25,15.4,2022-07-06,Himos,61.825
3.0,-1.0,4.66,15.0,2022-07-07,Himos,61.825
0.0,-1.0,5.79,15.7,2022-07-08,Himos,61.825
0.0,-1.0,4.19,14.4,2022-07-09,Himos,61.825
7.0,-1.0,6.43,16.4,2022-07-10,Himos,61.825
7.0,-1.0,5.17,17.2,2022-07-11,Himos,61.825
1.0,-1.0,3.76,18.9,2022-07-12,Himos,61.825
8.0,-1.0,2.75,17.7,2022-07-13,Himos,61.825
8.0,-1.0,4.21,16.1,2022-07-14,Himos,61.825
8.0,-1.0,4.69,14.1,2022-07-15,Himos,61.825
6.0,-1.0,4.28,12.3,2022-07-16,Himos,61.825
6.0,-1.0,4.56,12.9,2022-07-17,Himos,61.825
7.0,-1.0,4.49,14.0,2022-07-18,Himos,61.825
8.0,-1.0,5.07,15.3,2022-07-19,Himos,61.825
1.0,-1.0,7.05,17.0,2022-07-20,Himos,61.825
0.0,-1.0,6.88,21.2,2022-07-21,Himos,61.825
1.0,-1.0,5.82,22.5,2022-07-22,Himos,61.825
0.0,-1.0,3.92,17.5,2022-07-23,Himos,61.825
7.0,-1.0,4.11,17.4,2022-07-24,Himos,61.825
0.0,-1.0,6.07,18.7,2022-07-25,Himos,61.825
8.0,-1.0,3.39,18.5,2022-07-26,Himos,61.825
4.0,-1.0,3.8,16.4,2022-07-27,Himos,61.825
7.0,-1.0,3.63,14.6,2022-07-28,Himos,61.825
8.0,-1.0,3.4,14.2,2022-07-29,Himos,61.825
8.0,-1.0,3.41,13.9,2022-07-30,Himos,61.825
8.0,-1.0,5.33,15.9,2022-07-31,Himos,61.825
7.0,-1.0,6.3,18.8,2022-08-01,Himos,61.825
7.0,-1.0,5.15,16.2,2022-08-02,Himos,61.825
5.0,-1.0,5.45,17.2,2022-08-03,Himos,61.825
