Cloud_value,Snow depth [cm],Solar Radiation (kW-hr/m^2/day),Average temperature [°C],Date,Ski Center Name,Latitude
8.0,48,0.02,-9.9,2000-01-01,Iso-syote,65.6667
7.0,48,0.02,-7.4,2000-01-02,Iso-syote,65.6667
7.0,49,0.02,-5.6,2000-01-03,Iso-syote,65.6667
8.0,50,0.03,-5.1,2000-01-04,Iso-syote,65.6667
8.0,54,0.03,-7.9,2000-01-05,Iso-syote,65.6667
8.0,53,0.03,-4.8,2000-01-06,Iso-syote,65.6667
8.0,53,0.04,0.6,2000-01-07,Iso-syote,65.6667
7.0,51,0.05,0.3,2000-01-08,Iso-syote,65.6667
1.0,49,0.03,1.0,2000-01-09,Iso-syote,65.6667
7.0,49,0.06,-3.4,2000-01-10,Iso-syote,65.6667
8.0,48,0.06,-3.1,2000-01-11,Iso-syote,65.6667
0.0,49,0.04,-1.8,2000-01-12,Iso-syote,65.6667
8.0,54,0.06,-4.7,2000-01-13,Iso-syote,65.6667
9.0,53,0.06,-10.0,2000-01-14,Iso-syote,65.6667
8.0,53,0.08,-6.1,2000-01-15,Iso-syote,65.6667
9.0,53,0.07,-3.6,2000-01-16,Iso-syote,65.6667
7.0,58,0.08,-5.7,2000-01-17,Iso-syote,65.6667
7.0,58,0.12,-12.7,2000-01-18,Iso-syote,65.6667
7.0,58,0.1,-16.0,2000-01-19,Iso-syote,65.6667
0.0,58,0.09,-26.4,2000-01-20,Iso-syote,65.6667
8.0,58,0.15,-14.0,2000-01-21,Iso-syote,65.6667
7.0,58,0.12,-21.0,2000-01-22,Iso-syote,65.6667
7.0,57,0.15,-21.8,2000-01-23,Iso-syote,65.6667
0.0,57,0.12,-27.9,2000-01-24,Iso-syote,65.6667
7.0,61,0.17,-11.4,2000-01-25,Iso-syote,65.6667
8.0,63,0.2,-5.6,2000-01-26,Iso-syote,65.6667
0.0,62,0.18,-12.5,2000-01-27,Iso-syote,65.6667
9.0,62,0.19,-17.1,2000-01-28,Iso-syote,65.6667
8.0,62,0.2,-10.5,2000-01-29,Iso-syote,65.6667
7.0,65,0.19,-0.5,2000-01-30,Iso-syote,65.6667
8.0,68,0.25,-8.3,2000-01-31,Iso-syote,65.6667
7.0,69,0.3,-6.4,2000-02-01,Iso-syote,65.6667
8.0,72,0.27,-11.2,2000-02-02,Iso-syote,65.6667
0.0,72,0.28,-15.1,2000-02-03,Iso-syote,65.6667
5.0,71,0.32,-11.4,2000-02-04,Iso-syote,65.6667
5.0,72,0.4,-12.4,2000-02-05,Iso-syote,65.6667
