Cloud_value,Snow depth [cm],Solar Radiation (kW-hr/m^2/day),Average temperature [°C],Date,Ski Center Name,Latitude
8.0,-1.0,2.09,9.0,2009-09-26,Kommattivaara,66.5
0.0,-1.0,1.04,5.5,2009-09-27,Kommattivaara,66.5
0.0,-1.0,1.37,2.2,2009-09-28,Kommattivaara,66.5
5.0,-1.0,1.51,2.5,2009-09-29,Kommattivaara,66.5
0.0,-1.0,1.94,1.3,2009-09-30,Kommattivaara,66.5
5.0,-1.0,1.44,1.5,2009-10-01,Kommattivaara,66.5
7.0,-1.0,1.75,-2.0,2009-10-02,Kommattivaara,66.5
0.0,-1.0,1.36,-0.7,2009-10-03,Kommattivaara,66.5
8.0,-1.0,0.98,-0.5,2009-10-04,Kommattivaara,66.5
7.0,-1.0,0.8,0.3,2009-10-05,Kommattivaara,66.5
7.0,-1.0,1.46,-1.2,2009-10-06,Kommattivaara,66.5
7.0,-1.0,0.28,-3.7,2009-10-07,Kommattivaara,66.5
9.0,15.0,1.08,-1.2,2009-10-08,Kommattivaara,66.5
1.0,13.0,1.51,-5.3,2009-10-09,Kommattivaara,66.5
0.0,12.0,1.42,-3.9,2009-10-10,Kommattivaara,66.5
1.0,11.0,1.52,-11.1,2009-10-11,Kommattivaara,66.5
0.0,11.0,1.35,-13.7,2009-10-12,Kommattivaara,66.5
0.0,10.0,1.34,-8.9,2009-10-13,Kommattivaara,66.5
1.0,10.0,1.23,-3.9,2009-10-14,Kommattivaara,66.5
7.0,10.0,0.69,0.6,2009-10-15,Kommattivaara,66.5
3.0,8.0,0.37,0.9,2009-10-16,Kommattivaara,66.5
7.0,7.0,0.67,-1.2,2009-10-17,Kommattivaara,66.5
7.0,7.0,0.74,-1.9,2009-10-18,Kommattivaara,66.5
8.0,7.0,0.49,-0.9,2009-10-19,Kommattivaara,66.5
8.0,7.0,0.47,-0.4,2009-10-20,Kommattivaara,66.5
7.0,9.0,0.68,-2.9,2009-10-21,Kommattivaara,66.5
7.0,8.0,0.52,-0.2,2009-10-22,Kommattivaara,66.5
7.0,8.0,0.47,-1.3,2009-10-23,Kommattivaara,66.5
8.0,9.0,0.48,-4.0,2009-10-24,Kommattivaara,66.5
8.0,9.0,0.53,-2.8,2009-10-25,Kommattivaara,66.5
7.0,9.0,0.38,-1.8,2009-10-26,Kommattivaara,66.5
