Cloud_value,Snow depth [cm],Solar Radiation (kW-hr/m^2/day),Average temperature [°C],Date,Ski Center Name,Latitude
8.0,22,0.03,-9.0,2011-01-01,Ruskotunturi,66.3333
7.0,21,0.03,-10.1,2011-01-02,Ruskotunturi,66.3333
8.0,22,0.03,-13.7,2011-01-03,Ruskotunturi,66.3333
8.0,22,0.03,-18.1,2011-01-04,Ruskotunturi,66.3333
7.0,22,0.04,-18.3,2011-01-05,Ruskotunturi,66.3333
7.0,23,0.04,-12.5,2011-01-06,Ruskotunturi,66.3333
7.0,24,0.04,-7.2,2011-01-07,Ruskotunturi,66.3333
8.0,33,0.04,-7.4,2011-01-08,Ruskotunturi,66.3333
7.0,33,0.04,-3.3,2011-01-09,Ruskotunturi,66.3333
8.0,34,0.05,-0.3,2011-01-10,Ruskotunturi,66.3333
8.0,39,0.07,-2.7,2011-01-11,Ruskotunturi,66.3333
0.0,36,0.06,-7.2,2011-01-12,Ruskotunturi,66.3333
8.0,36,0.06,-6.3,2011-01-13,Ruskotunturi,66.3333
8.0,36,0.06,-13.1,2011-01-14,Ruskotunturi,66.3333
0.0,35,0.11,-23.3,2011-01-15,Ruskotunturi,66.3333
7.0,35,0.07,-15.4,2011-01-16,Ruskotunturi,66.3333
8.0,43,0.08,-7.0,2011-01-17,Ruskotunturi,66.3333
8.0,10,0.03,-6.1,2012-01-01,Ruskotunturi,66.3333
8.0,10,0.03,-4.3,2012-01-02,Ruskotunturi,66.3333
7.0,14,0.03,-1.3,2012-01-03,Ruskotunturi,66.3333
8.0,13,0.03,-1.0,2012-01-04,Ruskotunturi,66.3333
7.0,13,0.03,-3.0,2012-01-05,Ruskotunturi,66.3333
8.0,14,0.03,-2.7,2012-01-06,Ruskotunturi,66.3333
8.0,16,0.04,-5.6,2012-01-07,Ruskotunturi,66.3333
8.0,16,0.04,-3.9,2012-01-08,Ruskotunturi,66.3333
7.0,16,0.05,-7.0,2012-01-09,Ruskotunturi,66.3333
8.0,17,0.05,-9.3,2012-01-10,Ruskotunturi,66.3333
8.0,20,0.05,-4.6,2012-01-11,Ruskotunturi,66.3333
7.0,20,0.05,-3.2,2012-01-12,Ruskotunturi,66.3333
8.0,34,0.06,-5.4,2012-01-13,Ruskotunturi,66.3333
1.0,31,0.09,-9.1,2012-01-14,Ruskotunturi,66.3333
0.0,30,0.08,-11.7,2012-01-15,Ruskotunturi,66.3333
8.0,30,0.07,-8.3,2012-01-16,Ruskotunturi,66.3333
8.0,32,0.07,-9.5,2012-01-17,Ruskotunturi,66.3333
8.0,31,0.08,-7.8,2012-01-18,Ruskotunturi,66.3333
8.0,30,0.09,-5.3,2012-01-19,Ruskotunturi,66.3333
8.0,30,0.1,-6.3,2012-01-20,Ruskotunturi,66.3333
8.0,30,0.09,-6.2,2012-01-21,Ruskotunturi,66.3333
8.0,30,0.1,-7.7,2012-01-22,Ruskotunturi,66.3333
8.0,31,0.12,-9.6,2012-01-23,Ruskotunturi,66.3333
4.0,31,0.15,-13.5,2012-01-24,Ruskotunturi,66.3333
1.0,31,0.18,-18.0,2012-01-25,Ruskotunturi,66.3333
7.0,31,0.21,-12.1,2012-01-26,Ruskotunturi,66.3333
8.0,31,0.23,-14.5,2012-01-27,Ruskotunturi,66.3333
0.0,30,0.22,-18.3,2012-01-28,Ruskotunturi,66.3333
0.0,31,0.26,-22.1,2012-01-29,Ruskotunturi,66.3333
