Cloud_value,Snow depth [cm],Solar Radiation (kW-hr/m^2/day),Average temperature [°C],Date,Ski Center Name,Latitude
8.0,48,0.0,-10.8,2000-01-01,Salla,66.8376
7.0,48,0.0,-9.5,2000-01-02,Salla,66.8376
7.0,48,0.0,-6.1,2000-01-03,Salla,66.8376
7.0,50,0.0,-9.5,2000-01-04,Salla,66.8376
8.0,52,0.01,-16.2,2000-01-05,Salla,66.8376
8.0,52,0.01,-11.8,2000-01-06,Salla,66.8376
7.0,46,0.01,-0.6,2000-01-07,Salla,66.8376
7.0,45,0.02,-0.8,2000-01-08,Salla,66.8376
0.0,44,0.02,-0.1,2000-01-09,Salla,66.8376
0.0,44,0.03,-6.9,2000-01-10,Salla,66.8376
0.0,44,0.02,-5.3,2000-01-11,Salla,66.8376
1.0,45,0.03,-4.0,2000-01-12,Salla,66.8376
7.0,57,0.03,-5.4,2000-01-13,Salla,66.8376
7.0,57,0.04,-13.2,2000-01-14,Salla,66.8376
7.0,57,0.04,-11.7,2000-01-15,Salla,66.8376
9.0,57,0.05,-9.4,2000-01-16,Salla,66.8376
8.0,58,0.05,-8.6,2000-01-17,Salla,66.8376
5.0,58,0.07,-15.9,2000-01-18,Salla,66.8376
7.0,58,0.07,-14.4,2000-01-19,Salla,66.8376
9.0,58,0.09,-20.3,2000-01-20,Salla,66.8376
8.0,59,0.1,-13.6,2000-01-21,Salla,66.8376
0.0,59,0.08,-26.0,2000-01-22,Salla,66.8376
8.0,59,0.12,-26.6,2000-01-23,Salla,66.8376
9.0,59,0.12,-25.1,2000-01-24,Salla,66.8376
8.0,59,0.13,-9.5,2000-01-25,Salla,66.8376
8.0,61,0.15,-5.5,2000-01-26,Salla,66.8376
7.0,61,0.16,-11.8,2000-01-27,Salla,66.8376
0.0,61,0.15,-19.8,2000-01-28,Salla,66.8376
0.0,61,0.18,-18.6,2000-01-29,Salla,66.8376
8.0,61,0.18,-3.6,2000-01-30,Salla,66.8376
8.0,69,0.21,-8.5,2000-01-31,Salla,66.8376
5.0,70,0.19,-10.8,2000-02-01,Salla,66.8376
7.0,70,0.22,-11.3,2000-02-02,Salla,66.8376
7.0,70,0.22,-11.5,2000-02-03,Salla,66.8376
0.0,71,0.25,-14.7,2000-02-04,Salla,66.8376
8.0,72,0.43,-11.6,2000-02-05,Salla,66.8376
8.0,72,0.29,-8.3,2000-02-06,Salla,66.8376
9.0,81,0.36,-5.1,2000-02-07,Salla,66.8376
9.0,82,0.37,-1.1,2000-02-08,Salla,66.8376
8.0,83,0.42,-11.8,2000-02-09,Salla,66.8376
0.0,83,0.54,-9.9,2000-02-10,Salla,66.8376
8.0,83,0.5,-0.5,2000-02-11,Salla,66.8376
8.0,83,0.65,-3.6,2000-02-12,Salla,66.8376
7.0,83,0.44,-0.9,2000-02-13,Salla,66.8376
7.0,83,0.58,-3.6,2000-02-14,Salla,66.8376
8.0,75,0.67,-4.9,2000-02-15,Salla,66.8376
8.0,75,0.75,-8.3,2000-02-16,Salla,66.8376
0.0,75,0.81,-11.0,2000-02-17,Salla,66.8376
7.0,76,0.78,-7.1,2000-02-18,Salla,66.8376
8.0,76,0.94,-7.5,2000-02-19,Salla,66.8376
8.0,78,0.98,-10.2,2000-02-20,Salla,66.8376
8.0,79,1.13,-11.9,2000-02-22,Salla,66.8376
7.0,79,1.24,-21.3,2000-02-23,Salla,66.8376
8.0,79,1.26,-18.2,2000-02-24,Salla,66.8376
7.0,79,1.32,-16.6,2000-02-25,Salla,66.8376
1.0,79,1.51,-15.1,2000-02-26,Salla,66.8376
8.0,80,1.4,-9.2,2000-02-27,Salla,66.8376
7.0,84,1.33,-9.2,2000-02-28,Salla,66.8376
8.0,90,1.51,-12.7,2000-02-29,Salla,66.8376
8.0,87,0.92,-11.5,2000-03-01,Salla,66.8376
8.0,95,0.91,-6.3,2000-03-02,Salla,66.8376
8.0,97,1.61,-9.1,2000-03-03,Salla,66.8376
7.0,98,1.59,-8.3,2000-03-04,Salla,66.8376
7.0,96,1.9,-10.8,2000-03-05,Salla,66.8376
0.0,94,1.64,-17.3,2000-03-06,Salla,66.8376
8.0,95,1.11,-7.9,2000-03-07,Salla,66.8376
8.0,96,1.58,-6.8,2000-03-08,Salla,66.8376
7.0,97,1.37,-4.6,2000-03-09,Salla,66.8376
7.0,98,1.89,-5.9,2000-03-10,Salla,66.8376
8.0,98,1.52,-6.8,2000-03-11,Salla,66.8376
8.0,99,2.33,-8.8,2000-03-12,Salla,66.8376
0.0,92,0.85,-5.5,2000-03-13,Salla,66.8376
7.0,94,2.29,-3.6,2000-03-14,Salla,66.8376
7.0,94,2.15,-5.6,2000-03-15,Salla,66.8376
8.0,94,2.31,-7.1,2000-03-16,Salla,66.8376
0.0,92,1.66,-10.8,2000-03-17,Salla,66.8376
8.0,92,0.35,-1.6,2000-03-18,Salla,66.8376
