Cloud_value,Snow depth [cm],Solar Radiation (kW-hr/m^2/day),Average temperature [°C],Date,Ski Center Name,Latitude
4.8,27,0.24,-13.6,2000-01-01,Salpausselka,61.032
7.4,26,0.23,-4.0,2000-01-02,Salpausselka,61.032
8.0,31,0.25,-2.4,2000-01-03,Salpausselka,61.032
7.8,30,0.24,0.8,2000-01-04,Salpausselka,61.032
7.0,25,0.25,0.2,2000-01-05,Salpausselka,61.032
8.0,24,0.18,-0.1,2000-01-06,Salpausselka,61.032
5.4,22,0.23,1.1,2000-01-07,Salpausselka,61.032
7.4,20,0.26,3.5,2000-01-08,Salpausselka,61.032
7.2,14,0.28,3.2,2000-01-09,Salpausselka,61.032
6.0,11,0.36,-0.8,2000-01-10,Salpausselka,61.032
8.0,11,0.26,1.0,2000-01-11,Salpausselka,61.032
8.0,9,0.22,2.4,2000-01-12,Salpausselka,61.032
7.8,8,0.23,1.8,2000-01-13,Salpausselka,61.032
6.0,7,0.24,-1.4,2000-01-14,Salpausselka,61.032
6.0,7,0.31,-2.8,2000-01-15,Salpausselka,61.032
8.0,7,0.25,-0.3,2000-01-16,Salpausselka,61.032
4.8,8,0.37,-0.3,2000-01-17,Salpausselka,61.032
8.0,10,0.36,-5.9,2000-01-18,Salpausselka,61.032
5.0,10,0.38,-8.6,2000-01-19,Salpausselka,61.032
5.4,10,0.32,-9.5,2000-01-20,Salpausselka,61.032
3.4,14,0.44,-12.7,2000-01-21,Salpausselka,61.032
2.6,14,0.53,-11.9,2000-01-22,Salpausselka,61.032
5.0,14,0.59,-13.6,2000-01-23,Salpausselka,61.032
0.6,15,0.45,-15.7,2000-01-24,Salpausselka,61.032
7.4,15,0.37,-16.2,2000-01-25,Salpausselka,61.032
6.6,19,0.54,-3.3,2000-01-26,Salpausselka,61.032
2.6,19,0.52,-4.1,2000-01-27,Salpausselka,61.032
5.4,19,0.64,-6.8,2000-01-28,Salpausselka,61.032
7.0,18,0.45,-5.9,2000-01-29,Salpausselka,61.032
8.0,26,0.65,-0.1,2000-01-30,Salpausselka,61.032
0.6,25,0.79,-5.9,2000-01-31,Salpausselka,61.032
0.8,25,0.67,-3.5,2000-02-01,Salpausselka,61.032
7.8,26,0.46,-6.1,2000-02-02,Salpausselka,61.032
3.0,28,0.66,-8.2,2000-02-03,Salpausselka,61.032
3.6,27,0.71,-6.1,2000-02-04,Salpausselka,61.032
3.8,27,0.81,-3.2,2000-02-05,Salpausselka,61.032
5.2,27,0.68,-1.4,2000-02-06,Salpausselka,61.032
5.4,26,0.59,0.2,2000-02-07,Salpausselka,61.032
7.8,25,0.7,1.4,2000-02-08,Salpausselka,61.032
8.0,22,1.1,0.1,2000-02-09,Salpausselka,61.032
2.0,20,1.14,-2.8,2000-02-10,Salpausselka,61.032
6.4,20,1.08,1.3,2000-02-11,Salpausselka,61.032
2.8,20,0.91,1.0,2000-02-12,Salpausselka,61.032
8.0,19,0.59,0.6,2000-02-13,Salpausselka,61.032
6.2,25,1.24,-1.0,2000-02-14,Salpausselka,61.032
7.6,27,1.0,-2.6,2000-02-15,Salpausselka,61.032
8.0,27,1.1,-1.2,2000-02-16,Salpausselka,61.032
8.0,28,0.71,-0.4,2000-02-17,Salpausselka,61.032
6.6,34,1.55,-3.8,2000-02-18,Salpausselka,61.032
7.8,34,1.7,-4.8,2000-02-19,Salpausselka,61.032
7.4,34,1.36,-3.7,2000-02-20,Salpausselka,61.032
5.6,32,1.02,-6.6,2000-02-21,Salpausselka,61.032
6.6,32,1.18,-8.7,2000-02-22,Salpausselka,61.032
2.6,32,1.89,-11.9,2000-02-23,Salpausselka,61.032
3.0,32,1.44,-15.6,2000-02-24,Salpausselka,61.032
5.6,32,1.14,-9.1,2000-02-25,Salpausselka,61.032
4.4,36,2.1,-10.7,2000-02-26,Salpausselka,61.032
6.2,33,1.01,-5.4,2000-02-27,Salpausselka,61.032
8.0,33,0.63,2.3,2000-02-28,Salpausselka,61.032
7.4,26,1.44,2.4,2000-02-29,Salpausselka,61.032
8.0,23,0.75,1.3,2000-03-01,Salpausselka,61.032
7.6,23,1.13,-0.5,2000-03-02,Salpausselka,61.032
6.0,23,0.23,-2.6,2000-03-03,Salpausselka,61.032
7.8,33,0.83,-1.6,2000-03-04,Salpausselka,61.032
6.0,33,1.96,-5.9,2000-03-05,Salpausselka,61.032
8.0,35,1.05,-6.2,2000-03-06,Salpausselka,61.032
7.4,37,1.96,-0.7,2000-03-07,Salpausselka,61.032
3.2,37,2.76,-5.7,2000-03-08,Salpausselka,61.032
3.0,36,2.82,-8.8,2000-03-09,Salpausselka,61.032
6.4,36,2.27,-4.0,2000-03-10,Salpausselka,61.032
1.6,36,2.79,-6.1,2000-03-11,Salpausselka,61.032
0.8,36,2.82,-6.5,2000-03-12,Salpausselka,61.032
4.8,36,1.6,-6.4,2000-03-13,Salpausselka,61.032
7.4,37,1.99,1.0,2000-03-14,Salpausselka,61.032
5.2,33,1.58,-2.7,2000-03-15,Salpausselka,61.032
6.4,33,2.19,-3.7,2000-03-16,Salpausselka,61.032
8.0,37,2.26,-0.1,2000-03-17,Salpausselka,61.032
7.2,35,2.06,0.6,2000-03-18,Salpausselka,61.032
6.0,35,2.48,-0.4,2000-03-19,Salpausselka,61.032
6.4,35,3.14,1.7,2000-03-20,Salpausselka,61.032
2.2,31,3.25,2.8,2000-03-21,Salpausselka,61.032
5.2,33,3.38,0.4,2000-03-22,Salpausselka,61.032
5.2,30,3.19,-0.9,2000-03-23,Salpausselka,61.032
1.8,30,3.95,0.5,2000-03-24,Salpausselka,61.032
2.2,29,3.86,-2.1,2000-03-25,Salpausselka,61.032
0.2,28,4.2,-4.3,2000-03-26,Salpausselka,61.032
0.6,28,4.19,-4.6,2000-03-27,Salpausselka,61.032
1.6,28,4.3,-4.9,2000-03-28,Salpausselka,61.032
2.8,28,4.17,-3.1,2000-03-29,Salpausselka,61.032
3.2,27,3.72,4.2,2000-03-30,Salpausselka,61.032
5.6,23,3.38,3.1,2000-03-31,Salpausselka,61.032
7.4,21,3.23,0.9,2000-04-01,Salpausselka,61.032
4.0,20,3.92,-2.6,2000-04-02,Salpausselka,61.032
8.0,21,2.34,-1.8,2000-04-03,Salpausselka,61.032
7.8,22,3.76,0.5,2000-04-04,Salpausselka,61.032
8.0,20,2.84,1.5,2000-04-05,Salpausselka,61.032
2.2,18,4.26,0.0,2000-04-06,Salpausselka,61.032
1.8,17,4.93,1.6,2000-04-07,Salpausselka,61.032
6.4,14,3.02,2.3,2000-04-08,Salpausselka,61.032
7.4,12,3.12,1.3,2000-04-09,Salpausselka,61.032
7.8,11,2.43,3.4,2000-04-10,Salpausselka,61.032
7.75,6,3.04,2.3,2000-04-11,Salpausselka,61.032
7.4,4,4.95,3.3,2000-04-12,Salpausselka,61.032
6.8,0,3.67,3.0,2000-04-13,Salpausselka,61.032
7.8,0,2.26,3.4,2000-04-14,Salpausselka,61.032
7.2,0,3.88,3.2,2000-04-15,Salpausselka,61.032
5.6,0,2.95,4.1,2000-04-16,Salpausselka,61.032
7.6,0,3.41,5.0,2000-04-17,Salpausselka,61.032
6.2,0,2.83,5.7,2000-04-18,Salpausselka,61.032
6.0,0,4.3,8.8,2000-04-19,Salpausselka,61.032
4.8,-1,4.22,10.9,2000-04-20,Salpausselka,61.032
3.2,-1,5.33,12.5,2000-04-21,Salpausselka,61.032
3.8,-1,3.79,10.1,2000-04-22,Salpausselka,61.032
6.2,-1,3.77,9.4,2000-04-23,Salpausselka,61.032
5.4,-1,4.45,13.0,2000-04-24,Salpausselka,61.032
4.6,-1,4.84,13.1,2000-04-25,Salpausselka,61.032
5.6,-1,5.32,8.2,2000-04-26,Salpausselka,61.032
