Cloud_value,Snow depth [cm],Solar Radiation (kW-hr/m^2/day),Average temperature [°C],Date,Ski Center Name,Latitude
0.0,-1.0,4.6,18.1,2005-06-24,Tahko,62.2633
1.0,-1.0,5.81,13.4,2005-06-25,Tahko,62.2633
5.0,-1.0,5.94,13.0,2005-06-26,Tahko,62.2633
0.0,-1.0,5.15,14.4,2005-06-27,Tahko,62.2633
7.0,-1.0,4.44,12.2,2005-06-28,Tahko,62.2633
0.0,-1.0,4.79,12.9,2005-06-29,Tahko,62.2633
7.0,-1.0,4.28,14.3,2005-06-30,Tahko,62.2633
0.0,-1.0,5.81,13.6,2005-07-01,Tahko,62.2633
0.0,-1.0,8.14,15.4,2005-07-02,Tahko,62.2633
0.0,-1.0,7.92,18.1,2005-07-03,Tahko,62.2633
0.0,-1.0,7.56,20.6,2005-07-04,Tahko,62.2633
0.0,-1.0,7.12,20.7,2005-07-05,Tahko,62.2633
0.0,-1.0,7.16,19.9,2005-07-06,Tahko,62.2633
3.0,-1.0,7.53,17.5,2005-07-07,Tahko,62.2633
0.0,-1.0,7.15,18.5,2005-07-08,Tahko,62.2633
1.0,-1.0,7.36,20.9,2005-07-09,Tahko,62.2633
0.0,-1.0,6.96,21.7,2005-07-10,Tahko,62.2633
3.0,-1.0,5.96,21.3,2005-07-11,Tahko,62.2633
5.0,-1.0,6.48,20.5,2005-07-12,Tahko,62.2633
0.0,-1.0,6.44,21.3,2005-07-13,Tahko,62.2633
7.0,-1.0,6.14,16.5,2005-07-14,Tahko,62.2633
0.0,-1.0,4.58,16.8,2005-07-15,Tahko,62.2633
7.0,-1.0,5.44,20.3,2005-07-16,Tahko,62.2633
0.0,-1.0,6.21,21.4,2005-07-17,Tahko,62.2633
0.0,-1.0,5.36,21.5,2005-07-18,Tahko,62.2633
1.0,-1.0,4.53,19.5,2005-07-19,Tahko,62.2633
5.0,-1.0,3.66,18.0,2005-07-20,Tahko,62.2633
1.0,-1.0,3.74,19.1,2005-07-21,Tahko,62.2633
3.0,-1.0,4.39,18.7,2005-07-22,Tahko,62.2633
5.0,-1.0,4.87,17.2,2005-07-23,Tahko,62.2633
3.0,-1.0,4.58,17.0,2005-07-24,Tahko,62.2633
5.0,-1.0,4.5,18.3,2005-07-25,Tahko,62.2633
1.0,-1.0,5.14,17.9,2005-07-26,Tahko,62.2633
0.0,-1.0,2.15,16.6,2005-07-27,Tahko,62.2633
5.0,-1.0,3.81,17.1,2005-07-28,Tahko,62.2633
0.0,-1.0,5.65,15.1,2005-07-29,Tahko,62.2633
5.0,-1.0,6.94,14.1,2005-07-30,Tahko,62.2633
0.0,-1.0,5.83,16.6,2005-07-31,Tahko,62.2633
0.0,-1.0,2.23,14.1,2005-08-01,Tahko,62.2633
7.0,-1.0,3.92,14.7,2005-08-02,Tahko,62.2633
1.0,-1.0,4.57,17.2,2005-08-04,Tahko,62.2633
1.0,-1.0,2.12,15.9,2005-08-05,Tahko,62.2633
0.0,-1.0,5.38,16.6,2005-08-06,Tahko,62.2633
0.0,-1.0,3.04,17.1,2005-08-07,Tahko,62.2633
7.0,-1.0,4.28,20.0,2005-08-08,Tahko,62.2633
0.0,-1.0,4.63,22.3,2005-08-09,Tahko,62.2633
0.0,-1.0,4.77,18.4,2005-08-10,Tahko,62.2633
8.0,-1.0,1.97,15.6,2005-08-11,Tahko,62.2633
5.0,-1.0,1.82,15.8,2005-08-12,Tahko,62.2633
7.0,-1.0,3.4,16.1,2005-08-13,Tahko,62.2633
7.0,-1.0,3.65,16.4,2005-08-14,Tahko,62.2633
1.0,-1.0,3.99,14.9,2005-08-15,Tahko,62.2633
7.0,-1.0,4.45,14.6,2005-08-16,Tahko,62.2633
5.0,-1.0,2.38,11.8,2005-08-17,Tahko,62.2633
1.0,-1.0,4.47,13.8,2005-08-18,Tahko,62.2633
0.0,-1.0,4.95,16.8,2005-08-19,Tahko,62.2633
3.0,-1.0,4.65,18.4,2005-08-20,Tahko,62.2633
1.0,-1.0,2.54,14.7,2005-08-21,Tahko,62.2633
0.0,-1.0,5.39,13.9,2005-08-22,Tahko,62.2633
7.0,-1.0,2.73,15.4,2005-08-23,Tahko,62.2633
0.0,-1.0,3.54,17.2,2005-08-24,Tahko,62.2633
0.0,-1.0,4.18,19.2,2005-08-25,Tahko,62.2633
0.0,-1.0,4.3,19.0,2005-08-26,Tahko,62.2633
1.0,-1.0,3.93,15.0,2005-08-27,Tahko,62.2633
1.0,-1.0,3.53,13.5,2005-08-28,Tahko,62.2633
3.0,-1.0,4.09,13.3,2005-08-29,Tahko,62.2633
7.0,-1.0,3.19,14.3,2005-08-30,Tahko,62.2633
7.0,-1.0,4.09,12.8,2005-08-31,Tahko,62.2633
0.0,-1.0,4.66,12.3,2005-09-01,Tahko,62.2633
0.0,-1.0,4.7,13.8,2005-09-02,Tahko,62.2633
