Cloud_value,Snow depth [cm],Solar Radiation (kW-hr/m^2/day),Average temperature [°C],Date,Ski Center Name,Latitude
0.0,-1.0,6.61,19.7,2007-08-07,Vihti-ski-center,60.4146
0.0,-1.0,6.17,19.9,2007-08-08,Vihti-ski-center,60.4146
0.0,-1.0,6.27,20.3,2007-08-09,Vihti-ski-center,60.4146
4.0,-1.0,5.41,20.1,2007-08-10,Vihti-ski-center,60.4146
0.0,-1.0,6.25,20.8,2007-08-11,Vihti-ski-center,60.4146
8.0,-1.0,2.76,18.7,2007-08-12,Vihti-ski-center,60.4146
2.0,-1.0,5.28,20.5,2007-08-13,Vihti-ski-center,60.4146
2.0,-1.0,3.47,19.2,2007-08-14,Vihti-ski-center,60.4146
0.0,-1.0,5.9,18.0,2007-08-15,Vihti-ski-center,60.4146
4.0,-1.0,3.82,19.0,2007-08-16,Vihti-ski-center,60.4146
7.0,-1.0,5.18,18.1,2007-08-17,Vihti-ski-center,60.4146
1.0,-1.0,4.69,15.5,2007-08-18,Vihti-ski-center,60.4146
0.0,-1.0,4.18,14.0,2007-08-19,Vihti-ski-center,60.4146
0.0,-1.0,4.47,13.2,2007-08-20,Vihti-ski-center,60.4146
8.0,-1.0,4.27,15.6,2007-08-21,Vihti-ski-center,60.4146
8.0,-1.0,2.03,18.3,2007-08-22,Vihti-ski-center,60.4146
8.0,-1.0,2.59,16.2,2007-08-23,Vihti-ski-center,60.4146
8.0,-1.0,3.2,17.3,2007-08-24,Vihti-ski-center,60.4146
7.0,-1.0,2.98,15.1,2007-08-25,Vihti-ski-center,60.4146
2.0,-1.0,3.24,11.4,2007-08-26,Vihti-ski-center,60.4146
1.0,-1.0,3.77,10.5,2007-08-27,Vihti-ski-center,60.4146
8.0,-1.0,2.77,10.0,2007-08-28,Vihti-ski-center,60.4146
8.0,-1.0,2.62,9.8,2007-08-29,Vihti-ski-center,60.4146
2.0,-1.0,3.62,6.2,2007-08-30,Vihti-ski-center,60.4146
2.0,-1.0,4.17,6.0,2007-08-31,Vihti-ski-center,60.4146
2.0,-1.0,4.17,5.7,2007-09-01,Vihti-ski-center,60.4146
