Cloud_value,Snow depth [cm],Solar Radiation (kW-hr/m^2/day),Average temperature [°C],Date,Ski Center Name,Latitude
7.125,48,0.05,-10.9,2000-01-01,Vuokatti,64.1425
7.375,47,0.05,-8.5,2000-01-02,Vuokatti,64.1425
8.0,48,0.05,-6.9,2000-01-03,Vuokatti,64.1425
8.0,50,0.05,-5.7,2000-01-04,Vuokatti,64.1425
8.0,51,0.05,-6.2,2000-01-05,Vuokatti,64.1425
8.0,52,0.06,-4.1,2000-01-06,Vuokatti,64.1425
7.0,50,0.06,0.7,2000-01-07,Vuokatti,64.1425
7.25,48,0.08,1.0,2000-01-08,Vuokatti,64.1425
0.625,45,0.06,1.1,2000-01-09,Vuokatti,64.1425
1.75,44,0.08,-3.0,2000-01-10,Vuokatti,64.1425
6.25,43,0.07,-2.2,2000-01-11,Vuokatti,64.1425
5.625,44,0.09,-0.9,2000-01-12,Vuokatti,64.1425
7.857142857142857,47,0.11,-2.1,2000-01-13,Vuokatti,64.1425
7.125,47,0.12,-4.9,2000-01-14,Vuokatti,64.1425
7.0,47,0.13,-4.9,2000-01-15,Vuokatti,64.1425
7.875,47,0.11,-2.9,2000-01-16,Vuokatti,64.1425
6.875,50,0.14,-2.9,2000-01-17,Vuokatti,64.1425
4.0,51,0.14,-9.6,2000-01-18,Vuokatti,64.1425
6.5,50,0.18,-13.2,2000-01-19,Vuokatti,64.1425
5.125,49,0.15,-19.3,2000-01-20,Vuokatti,64.1425
4.75,49,0.2,-15.1,2000-01-21,Vuokatti,64.1425
2.75,49,0.2,-16.1,2000-01-22,Vuokatti,64.1425
2.75,48,0.24,-16.6,2000-01-23,Vuokatti,64.1425
1.75,48,0.22,-23.4,2000-01-24,Vuokatti,64.1425
7.75,47,0.21,-17.4,2000-01-25,Vuokatti,64.1425
6.25,49,0.25,-8.2,2000-01-26,Vuokatti,64.1425
1.375,50,0.32,-7.9,2000-01-27,Vuokatti,64.1425
7.625,50,0.33,-11.3,2000-01-28,Vuokatti,64.1425
6.714285714285714,51,0.26,-10.8,2000-01-29,Vuokatti,64.1425
8.0,54,0.32,-0.7,2000-01-30,Vuokatti,64.1425
5.0,56,0.42,-7.3,2000-01-31,Vuokatti,64.1425
4.375,57,0.36,-4.4,2000-02-01,Vuokatti,64.1425
4.75,56,0.36,-9.4,2000-02-02,Vuokatti,64.1425
2.125,56,0.4,-12.4,2000-02-03,Vuokatti,64.1425
7.0,56,0.36,-9.9,2000-02-04,Vuokatti,64.1425
4.285714285714286,60,0.6,-8.9,2000-02-05,Vuokatti,64.1425
7.5,60,0.48,-5.6,2000-02-06,Vuokatti,64.1425
5.5,63,0.51,-0.7,2000-02-07,Vuokatti,64.1425
7.75,62,0.48,0.6,2000-02-08,Vuokatti,64.1425
5.625,60,0.67,-5.7,2000-02-09,Vuokatti,64.1425
5.375,60,0.72,-5.8,2000-02-10,Vuokatti,64.1425
4.75,60,0.7,0.7,2000-02-11,Vuokatti,64.1425
2.875,59,0.73,-0.1,2000-02-12,Vuokatti,64.1425
7.875,59,0.49,0.6,2000-02-13,Vuokatti,64.1425
7.875,60,0.74,-1.5,2000-02-14,Vuokatti,64.1425
8.0,61,0.83,-4.6,2000-02-15,Vuokatti,64.1425
7.875,61,0.94,-6.1,2000-02-16,Vuokatti,64.1425
8.0,62,1.03,-3.5,2000-02-17,Vuokatti,64.1425
7.125,64,0.98,-4.9,2000-02-18,Vuokatti,64.1425
8.0,65,1.05,-6.4,2000-02-19,Vuokatti,64.1425
5.125,66,1.04,-6.8,2000-02-20,Vuokatti,64.1425
7.875,66,1.31,-15.3,2000-02-21,Vuokatti,64.1425
4.0,66,1.31,-12.9,2000-02-22,Vuokatti,64.1425
1.875,66,1.48,-18.4,2000-02-23,Vuokatti,64.1425
1.125,66,1.45,-18.3,2000-02-24,Vuokatti,64.1425
1.25,66,1.51,-18.2,2000-02-25,Vuokatti,64.1425
2.0,65,1.62,-21.0,2000-02-26,Vuokatti,64.1425
7.625,65,1.01,-8.3,2000-02-27,Vuokatti,64.1425
8.0,76,1.03,1.3,2000-02-28,Vuokatti,64.1425
8.0,81,1.34,-1.0,2000-02-29,Vuokatti,64.1425
7.625,82,1.78,0.8,2000-03-01,Vuokatti,64.1425
7.875,84,1.4,-4.7,2000-03-02,Vuokatti,64.1425
5.5,86,1.99,-8.3,2000-03-03,Vuokatti,64.1425
8.0,88,1.19,-1.4,2000-03-04,Vuokatti,64.1425
7.375,91,0.92,-5.8,2000-03-05,Vuokatti,64.1425
5.875,92,1.22,-10.1,2000-03-06,Vuokatti,64.1425
7.375,95,2.11,-6.2,2000-03-07,Vuokatti,64.1425
6.75,96,2.06,-9.4,2000-03-08,Vuokatti,64.1425
8.0,97,2.21,-6.5,2000-03-09,Vuokatti,64.1425
6.75,98,2.24,-5.4,2000-03-10,Vuokatti,64.1425
6.0,99,2.72,-8.2,2000-03-11,Vuokatti,64.1425
1.8571428571428572,98,2.69,-9.6,2000-03-12,Vuokatti,64.1425
7.625,97,1.11,-5.4,2000-03-13,Vuokatti,64.1425
7.5,99,1.31,-0.4,2000-03-14,Vuokatti,64.1425
1.375,100,2.64,-3.4,2000-03-15,Vuokatti,64.1425
3.375,99,2.45,-6.9,2000-03-16,Vuokatti,64.1425
7.5,98,2.07,-1.4,2000-03-17,Vuokatti,64.1425
8.0,96,2.21,-1.4,2000-03-18,Vuokatti,64.1425
8.0,95,1.56,-0.6,2000-03-19,Vuokatti,64.1425
3.75,94,2.66,2.7,2000-03-20,Vuokatti,64.1425
1.125,92,2.97,-0.8,2000-03-21,Vuokatti,64.1425
0.5,90,3.33,-3.0,2000-03-22,Vuokatti,64.1425
2.125,88,3.08,-3.3,2000-03-23,Vuokatti,64.1425
4.5,87,2.74,-3.6,2000-03-24,Vuokatti,64.1425
2.375,86,3.34,-4.7,2000-03-25,Vuokatti,64.1425
0.625,84,3.52,-6.9,2000-03-26,Vuokatti,64.1425
1.875,83,3.75,-7.1,2000-03-27,Vuokatti,64.1425
1.375,82,3.54,-2.9,2000-03-28,Vuokatti,64.1425
5.375,81,2.66,-0.9,2000-03-29,Vuokatti,64.1425
4.0,80,3.6,4.8,2000-03-30,Vuokatti,64.1425
4.875,77,3.09,2.1,2000-03-31,Vuokatti,64.1425
7.875,76,2.52,-0.4,2000-04-01,Vuokatti,64.1425
2.0,75,4.34,-6.6,2000-04-02,Vuokatti,64.1425
6.25,75,3.78,-5.6,2000-04-03,Vuokatti,64.1425
8.0,74,2.88,-0.4,2000-04-04,Vuokatti,64.1425
8.0,75,1.04,0.5,2000-04-05,Vuokatti,64.1425
2.75,-1,4.63,15.1,2000-06-12,Vuokatti,64.1425
2.0833333333333335,-1,6.34,12.4,2000-06-13,Vuokatti,64.1425
4.083333333333333,-1,5.67,11.9,2000-06-14,Vuokatti,64.1425
5.863636363636363,-1,4.61,8.6,2000-06-15,Vuokatti,64.1425
7.208333333333333,-1,4.38,6.9,2000-06-16,Vuokatti,64.1425
6.916666666666667,-1,3.65,6.0,2000-06-17,Vuokatti,64.1425
4.666666666666667,-1,5.58,9.4,2000-06-18,Vuokatti,64.1425
7.173913043478261,-1,2.3,9.3,2000-06-19,Vuokatti,64.1425
3.9166666666666665,-1,4.65,13.0,2000-06-20,Vuokatti,64.1425
0.625,-1,8.14,14.8,2000-06-21,Vuokatti,64.1425
4.583333333333333,-1,3.35,16.3,2000-06-22,Vuokatti,64.1425
2.375,-1,2.97,17.7,2000-06-23,Vuokatti,64.1425
2.125,-1,5.46,15.7,2000-06-24,Vuokatti,64.1425
2.7083333333333335,-1,6.43,17.5,2000-06-25,Vuokatti,64.1425
3.130434782608696,-1,2.45,17.6,2000-06-26,Vuokatti,64.1425
5.208333333333333,-1,2.53,17.7,2000-06-27,Vuokatti,64.1425
6.25,-1,3.15,16.8,2000-06-28,Vuokatti,64.1425
0.6956521739130435,-1,7.62,24.1,2000-06-29,Vuokatti,64.1425
0.782608695652174,-1,7.85,23.6,2000-06-30,Vuokatti,64.1425
4.0,-1,3.12,17.0,2000-07-01,Vuokatti,64.1425
4.291666666666667,-1,4.53,15.9,2000-07-02,Vuokatti,64.1425
5.083333333333333,-1,3.18,10.8,2000-07-03,Vuokatti,64.1425
