Cloud_value,Snow depth [cm],Solar Radiation (kW-hr/m^2/day),Average temperature [°C],Date,Ski Center Name,Latitude
7.625,56.0,0.0,-4.4,2000-01-03,Levi,67.8058
8.0,56.0,0.0,-8.0,2000-01-04,Levi,67.8058
5.458333333333333,58.0,0.0,-16.0,2000-01-05,Levi,67.8058
8.041666666666666,58.0,0.0,-14.9,2000-01-06,Levi,67.8058
5.565217391304348,60.0,0.0,-1.3,2000-01-07,Levi,67.8058
6.0,58.0,0.0,-1.8,2000-01-08,Levi,67.8058
0.2916666666666667,62.0,0.0,-1.7,2000-01-09,Levi,67.8058
0.125,60.0,0.0,-6.2,2000-01-10,Levi,67.8058
4.956521739130435,59.0,0.0,-6.2,2000-01-11,Levi,67.8058
2.9166666666666665,59.0,0.01,-6.2,2000-01-12,Levi,67.8058
0.0,59.0,0.01,-10.6,2000-01-13,Levi,67.8058
2.2666666666666666,59.0,0.01,-15.4,2000-01-14,Levi,67.8058
4.0,59.0,0.02,-13.9,2000-01-15,Levi,67.8058
7.666666666666667,59.0,0.02,-12.8,2000-01-16,Levi,67.8058
5.583333333333333,62.0,0.03,-8.3,2000-01-17,Levi,67.8058
1.9166666666666667,62.0,0.03,-13.5,2000-01-18,Levi,67.8058
2.1666666666666665,62.0,0.04,-19.3,2000-01-19,Levi,67.8058
6.571428571428571,62.0,0.04,-25.4,2000-01-20,Levi,67.8058
0.3043478260869565,62.0,0.05,-20.9,2000-01-21,Levi,67.8058
0.1875,62.0,0.05,-19.1,2000-01-22,Levi,67.8058
0.0,62.0,0.06,-17.9,2000-01-23,Levi,67.8058
4.458333333333333,62.0,0.07,-28.3,2000-01-24,Levi,67.8058
5.043478260869565,63.0,0.1,-7.5,2000-01-25,Levi,67.8058
2.5,65.0,0.08,-2.6,2000-01-26,Levi,67.8058
0.1739130434782608,64.0,0.1,-10.1,2000-01-27,Levi,67.8058
0.6666666666666666,65.0,0.1,-16.7,2000-01-28,Levi,67.8058
4.291666666666667,65.0,0.11,-27.0,2000-01-29,Levi,67.8058
7.875,68.0,0.12,-6.8,2000-01-30,Levi,67.8058
4.416666666666667,74.0,0.13,-10.8,2000-01-31,Levi,67.8058
4.260869565217392,73.0,0.15,-13.6,2000-02-01,Levi,67.8058
3.125,75.0,0.19,-9.6,2000-02-02,Levi,67.8058
0.4166666666666667,76.0,0.21,-7.6,2000-02-03,Levi,67.8058
5.833333333333333,76.0,0.19,-13.6,2000-02-04,Levi,67.8058
1.7083333333333333,78.0,0.24,-10.7,2000-02-05,Levi,67.8058
5.75,78.0,0.22,-11.0,2000-02-06,Levi,67.8058
2.125,90.0,0.26,-7.6,2000-02-07,Levi,67.8058
5.434782608695652,92.0,0.31,-4.2,2000-02-08,Levi,67.8058
0.4583333333333333,92.0,0.43,-9.8,2000-02-09,Levi,67.8058
4.041666666666667,92.0,0.38,-7.1,2000-02-10,Levi,67.8058
4.208333333333333,89.0,0.39,-1.4,2000-02-11,Levi,67.8058
0.4,89.0,0.46,-5.5,2000-02-12,Levi,67.8058
7.0625,85.0,0.36,-0.4,2000-02-13,Levi,67.8058
7.565217391304348,84.0,0.55,-2.3,2000-02-14,Levi,67.8058
6.833333333333333,85.0,0.66,-6.4,2000-02-15,Levi,67.8058
8.0,85.0,0.67,-11.1,2000-02-16,Levi,67.8058
7.869565217391305,85.0,0.64,-16.9,2000-02-17,Levi,67.8058
7.916666666666667,85.0,0.68,-10.3,2000-02-18,Levi,67.8058
7.291666666666667,87.0,0.84,-10.9,2000-02-19,Levi,67.8058
3.75,87.0,0.74,-18.0,2000-02-20,Levi,67.8058
4.75,87.0,0.75,-11.1,2000-02-21,Levi,67.8058
5.227272727272728,87.0,1.03,-16.2,2000-02-22,Levi,67.8058
6.318181818181818,87.0,1.11,-25.6,2000-02-23,Levi,67.8058
6.208333333333333,88.0,1.04,-14.5,2000-02-24,Levi,67.8058
2.9166666666666665,88.0,0.73,-17.6,2000-02-25,Levi,67.8058
7.541666666666667,88.0,1.19,-19.1,2000-02-26,Levi,67.8058
7.913043478260869,89.0,1.22,-9.1,2000-02-27,Levi,67.8058
7.666666666666667,95.0,1.21,-10.9,2000-02-28,Levi,67.8058
8.0,101.0,1.24,-12.3,2000-02-29,Levi,67.8058
8.083333333333334,103.0,0.68,-14.6,2000-03-01,Levi,67.8058
7.458333333333333,105.0,0.97,-11.2,2000-03-02,Levi,67.8058
7.958333333333333,110.0,1.45,-6.9,2000-03-03,Levi,67.8058
7.041666666666667,117.0,0.78,-7.8,2000-03-04,Levi,67.8058
0.0,118.0,1.74,-14.0,2000-03-05,Levi,67.8058
5.583333333333333,118.0,0.85,-22.4,2000-03-06,Levi,67.8058
8.0,119.0,0.98,-10.1,2000-03-07,Levi,67.8058
6.041666666666667,119.0,0.91,-6.3,2000-03-08,Levi,67.8058
2.7916666666666665,119.0,1.53,-4.8,2000-03-09,Levi,67.8058
1.125,118.0,1.98,-7.1,2000-03-10,Levi,67.8058
2.0,118.0,1.99,-8.3,2000-03-11,Levi,67.8058
0.625,118.0,2.04,-9.6,2000-03-12,Levi,67.8058
5.291666666666667,118.0,0.96,-4.0,2000-03-13,Levi,67.8058
1.4782608695652173,118.0,2.15,-4.1,2000-03-14,Levi,67.8058
5.5,118.0,1.38,-10.4,2000-03-15,Levi,67.8058
0.9166666666666666,118.0,2.62,-17.2,2000-03-16,Levi,67.8058
1.7083333333333333,118.0,2.61,-15.0,2000-03-17,Levi,67.8058
6.041666666666667,119.0,1.03,-6.2,2000-03-18,Levi,67.8058
5.291666666666667,119.0,0.85,-3.4,2000-03-19,Levi,67.8058
2.625,117.0,1.91,0.4,2000-03-20,Levi,67.8058
0.0833333333333333,117.0,2.42,-4.1,2000-03-21,Levi,67.8058
0.2916666666666667,117.0,2.65,-4.5,2000-03-22,Levi,67.8058
2.0,117.0,2.3,-3.8,2000-03-23,Levi,67.8058
4.0,117.0,2.52,-3.7,2000-03-24,Levi,67.8058
3.875,117.0,2.95,-5.3,2000-03-25,Levi,67.8058
0.8095238095238095,115.0,3.35,-8.1,2000-03-26,Levi,67.8058
1.5416666666666667,115.0,3.07,-8.8,2000-03-27,Levi,67.8058
4.5,115.0,2.24,-2.9,2000-03-28,Levi,67.8058
7.083333333333333,113.0,2.33,0.2,2000-03-29,Levi,67.8058
4.666666666666667,97.0,2.8,3.3,2000-03-30,Levi,67.8058
5.521739130434782,90.0,2.83,-5.5,2000-03-31,Levi,67.8058
6.125,91.0,2.56,-8.6,2000-04-01,Levi,67.8058
2.75,93.0,4.12,-8.2,2000-04-02,Levi,67.8058
0.8333333333333334,93.0,3.94,-14.1,2000-04-03,Levi,67.8058
8.041666666666666,93.0,1.56,-8.7,2000-04-04,Levi,67.8058
8.0,110.0,2.4,-3.0,2000-04-05,Levi,67.8058
7.6521739130434785,128.0,2.95,-2.8,2000-04-06,Levi,67.8058
1.0416666666666667,130.0,4.32,-2.0,2000-04-07,Levi,67.8058
0.2916666666666667,125.0,4.24,-3.5,2000-04-08,Levi,67.8058
4.083333333333333,120.0,2.74,0.4,2000-04-09,Levi,67.8058
2.5,100.0,3.73,2.1,2000-04-10,Levi,67.8058
3.8333333333333335,96.0,3.97,-0.6,2000-04-11,Levi,67.8058
7.666666666666667,97.0,3.2,-1.1,2000-04-12,Levi,67.8058
7.416666666666667,99.0,3.47,-2.0,2000-04-13,Levi,67.8058
7.5,100.0,4.33,-1.4,2000-04-14,Levi,67.8058
7.0,100.0,3.36,-0.9,2000-04-15,Levi,67.8058
5.041666666666667,95.0,5.15,-0.8,2000-04-16,Levi,67.8058
7.375,95.0,3.0,0.1,2000-04-17,Levi,67.8058
7.541666666666667,93.0,1.19,2.1,2000-04-18,Levi,67.8058
6.291666666666667,82.0,4.01,1.6,2000-04-19,Levi,67.8058
5.583333333333333,82.0,4.17,-0.5,2000-04-20,Levi,67.8058
6.791666666666667,83.0,5.04,1.0,2000-04-21,Levi,67.8058
7.791666666666667,84.0,3.15,0.4,2000-04-22,Levi,67.8058
