"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Jämsä Halli airport","2020","1","1","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","1","2","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","1","3","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","1","4","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","1","5","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","1","6","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","1","7","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","1","8","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","1","9","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","1","10","00:00","Partly cloudy (5/8)"
"Jämsä Halli airport","2020","1","11","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","1","12","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","1","13","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","1","14","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","1","15","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","1","16","00:00","Partly cloudy (5/8)"
"Jämsä Halli airport","2020","1","17","00:00","Mostly clear (2/8)"
"Jämsä Halli airport","2020","1","18","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","1","19","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","1","20","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","1","21","00:00","Mostly clear (2/8)"
"Jämsä Halli airport","2020","1","22","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","1","23","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","1","24","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","1","25","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","1","26","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","1","27","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","1","28","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","1","29","00:00","Cloudiness cannot be determined (9/8)"
"Jämsä Halli airport","2020","1","30","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","1","31","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","2","1","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","2","2","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","2","3","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","2","4","00:00","Mostly clear (3/8)"
"Jämsä Halli airport","2020","2","5","00:00","Mostly clear (3/8)"
"Jämsä Halli airport","2020","2","6","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","2","7","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","2","8","00:00","Cloudiness cannot be determined (9/8)"
"Jämsä Halli airport","2020","2","9","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","2","10","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","2","11","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","2","12","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","2","13","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","2","14","00:00","Partly cloudy (4/8)"
"Jämsä Halli airport","2020","2","15","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","2","16","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","2","17","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","2","18","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","2","19","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","2","20","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","2","21","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","2","22","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","2","23","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","2","24","00:00","Clear (1/8)"
"Jämsä Halli airport","2020","2","25","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","2","26","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","2","27","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","2","28","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","2","29","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","3","1","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","3","2","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","3","3","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","3","4","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","3","5","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","3","6","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","3","7","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","3","8","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","3","9","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","3","10","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","3","11","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","3","12","00:00","Cloudiness cannot be determined (9/8)"
"Jämsä Halli airport","2020","3","13","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","3","14","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","3","15","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","3","16","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","3","17","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","3","18","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","3","19","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","3","20","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","3","21","00:00","Partly cloudy (5/8)"
"Jämsä Halli airport","2020","3","22","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","3","23","00:00","Partly cloudy (4/8)"
"Jämsä Halli airport","2020","3","24","00:00","Partly cloudy (5/8)"
"Jämsä Halli airport","2020","3","25","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","3","26","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","3","27","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","3","28","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","3","29","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","3","30","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","3","31","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","4","1","00:00","Mostly cloudy (6/8)"
"Jämsä Halli airport","2020","4","2","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","4","3","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","4","4","00:00","Partly cloudy (5/8)"
"Jämsä Halli airport","2020","4","5","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","4","6","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","4","7","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","4","8","00:00","Mostly clear (3/8)"
"Jämsä Halli airport","2020","4","9","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","4","10","00:00","Mostly clear (3/8)"
"Jämsä Halli airport","2020","4","11","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","4","12","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","4","13","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","4","14","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","4","15","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","4","16","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","4","17","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","4","18","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","4","19","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","4","20","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","4","21","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","4","22","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","4","23","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","4","24","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","4","25","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","4","26","00:00","Mostly cloudy (6/8)"
"Jämsä Halli airport","2020","4","27","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","4","28","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","4","29","00:00","Mostly clear (2/8)"
"Jämsä Halli airport","2020","4","30","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","5","1","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","5","2","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","5","3","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","5","4","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","5","5","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","5","6","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","5","7","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","5","8","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","5","9","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","5","10","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","5","11","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","5","12","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","5","13","00:00","Partly cloudy (5/8)"
"Jämsä Halli airport","2020","5","14","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","5","15","00:00","Clear (0/8)"
"Jämsä Halli airport","2020","5","16","00:00","Partly cloudy (4/8)"
"Jämsä Halli airport","2020","5","17","00:00","Mostly cloudy (7/8)"
"Jämsä Halli airport","2020","5","18","00:00","Cloudy (8/8)"
"Jämsä Halli airport","2020","5","19","00:00","Cloudy (8/8)"
