"Observation station","Year","Month","Day","Time [Local time]","Average temperature [°C]"
"Pudasjärvi airfield","2020","1","1","02:00","-6.4"
"Pudasjärvi airfield","2020","1","2","02:00","3.6"
"Pudasjärvi airfield","2020","1","3","02:00","1.8"
"Pudasjärvi airfield","2020","1","4","02:00","-4.4"
"Pudasjärvi airfield","2020","1","5","02:00","-9.7"
"Pudasjärvi airfield","2020","1","6","02:00","-1.6"
"Pudasjärvi airfield","2020","1","7","02:00","1.1"
"Pudasjärvi airfield","2020","1","8","02:00","1.8"
"Pudasjärvi airfield","2020","1","9","02:00","0.3"
"Pudasjärvi airfield","2020","1","10","02:00","-2.4"
"Pudasjärvi airfield","2020","1","11","02:00","-2.5"
"Pudasjärvi airfield","2020","1","12","02:00","0.3"
"Pudasjärvi airfield","2020","1","13","02:00","-3.4"
"Pudasjärvi airfield","2020","1","14","02:00","-1.2"
"Pudasjärvi airfield","2020","1","15","02:00","1"
"Pudasjärvi airfield","2020","1","16","02:00","-0.6"
"Pudasjärvi airfield","2020","1","17","02:00","-2.3"
"Pudasjärvi airfield","2020","1","18","02:00","-2.9"
"Pudasjärvi airfield","2020","1","19","02:00","-1.9"
"Pudasjärvi airfield","2020","1","20","02:00","-0.8"
"Pudasjärvi airfield","2020","1","21","02:00","0.5"
"Pudasjärvi airfield","2020","1","22","02:00","-6.5"
"Pudasjärvi airfield","2020","1","23","02:00","-9.1"
"Pudasjärvi airfield","2020","1","24","02:00","-3.5"
"Pudasjärvi airfield","2020","1","25","02:00","-13.2"
"Pudasjärvi airfield","2020","1","26","02:00","-18.6"
"Pudasjärvi airfield","2020","1","27","02:00","-19.7"
"Pudasjärvi airfield","2020","1","28","02:00","-10"
"Pudasjärvi airfield","2020","1","29","02:00","-9.3"
"Pudasjärvi airfield","2020","1","30","02:00","-7.8"
"Pudasjärvi airfield","2020","1","31","02:00","-9.3"
"Pudasjärvi airfield","2020","2","1","02:00","-10.7"
"Pudasjärvi airfield","2020","2","2","02:00","-7.7"
"Pudasjärvi airfield","2020","2","3","02:00","-7.7"
"Pudasjärvi airfield","2020","2","4","02:00","-17.8"
"Pudasjärvi airfield","2020","2","5","02:00","-11.6"
"Pudasjärvi airfield","2020","2","6","02:00","-12.3"
"Pudasjärvi airfield","2020","2","7","02:00","-13.1"
"Pudasjärvi airfield","2020","2","8","02:00","-5.6"
"Pudasjärvi airfield","2020","2","9","02:00","0.6"
"Pudasjärvi airfield","2020","2","10","02:00","1.7"
"Pudasjärvi airfield","2020","2","11","02:00","1"
"Pudasjärvi airfield","2020","2","12","02:00","0.2"
"Pudasjärvi airfield","2020","2","13","02:00","0.3"
"Pudasjärvi airfield","2020","2","14","02:00","-3.7"
"Pudasjärvi airfield","2020","2","15","02:00","-3.2"
"Pudasjärvi airfield","2020","2","16","02:00","0.4"
"Pudasjärvi airfield","2020","2","17","02:00","1.5"
"Pudasjärvi airfield","2020","2","18","02:00","1.3"
"Pudasjärvi airfield","2020","2","19","02:00","-4.1"
"Pudasjärvi airfield","2020","2","20","02:00","-14.3"
"Pudasjärvi airfield","2020","2","21","02:00","-0.7"
"Pudasjärvi airfield","2020","2","22","02:00","1.3"
"Pudasjärvi airfield","2020","2","23","02:00","-1.3"
"Pudasjärvi airfield","2020","2","24","02:00","-3.3"
"Pudasjärvi airfield","2020","2","25","02:00","-11.5"
"Pudasjärvi airfield","2020","2","26","02:00","-18.8"
"Pudasjärvi airfield","2020","2","27","02:00","-12.3"
"Pudasjärvi airfield","2020","2","28","02:00","-16.9"
"Pudasjärvi airfield","2020","2","29","02:00","-19.7"
"Pudasjärvi airfield","2020","3","1","02:00","-10.2"
"Pudasjärvi airfield","2020","3","2","02:00","-10.3"
"Pudasjärvi airfield","2020","3","3","02:00","-15.4"
"Pudasjärvi airfield","2020","3","4","02:00","-9.2"
"Pudasjärvi airfield","2020","3","5","02:00","-3"
"Pudasjärvi airfield","2020","3","6","02:00","-2.9"
"Pudasjärvi airfield","2020","3","7","02:00","-2.6"
"Pudasjärvi airfield","2020","3","8","02:00","-2.7"
"Pudasjärvi airfield","2020","3","9","02:00","2.7"
"Pudasjärvi airfield","2020","3","10","02:00","1.9"
"Pudasjärvi airfield","2020","3","11","02:00","0.9"
"Pudasjärvi airfield","2020","3","12","02:00","0.7"
"Pudasjärvi airfield","2020","3","13","02:00","-4.7"
"Pudasjärvi airfield","2020","3","14","02:00","-10.8"
"Pudasjärvi airfield","2020","3","15","02:00","-4"
"Pudasjärvi airfield","2020","3","16","02:00","-2"
"Pudasjärvi airfield","2020","3","17","02:00","-1.7"
"Pudasjärvi airfield","2020","3","18","02:00","-0.5"
"Pudasjärvi airfield","2020","3","19","02:00","-3.5"
"Pudasjärvi airfield","2020","3","20","02:00","-9.6"
"Pudasjärvi airfield","2020","3","21","02:00","-10.6"
"Pudasjärvi airfield","2020","3","22","02:00","-4.9"
"Pudasjärvi airfield","2020","3","23","02:00","0.3"
"Pudasjärvi airfield","2020","3","24","02:00","1.9"
"Pudasjärvi airfield","2020","3","25","02:00","3.2"
"Pudasjärvi airfield","2020","3","26","02:00","1.4"
"Pudasjärvi airfield","2020","3","27","02:00","2.9"
"Pudasjärvi airfield","2020","3","28","02:00","-0.3"
"Pudasjärvi airfield","2020","3","29","02:00","-6.1"
"Pudasjärvi airfield","2020","3","30","03:00","-8.1"
"Pudasjärvi airfield","2020","3","31","03:00","-4.1"
"Pudasjärvi airfield","2020","4","1","03:00","-5.4"
"Pudasjärvi airfield","2020","4","2","03:00","-7.2"
"Pudasjärvi airfield","2020","4","3","03:00","-2.9"
"Pudasjärvi airfield","2020","4","4","03:00","-6.1"
"Pudasjärvi airfield","2020","4","5","03:00","-7.6"
"Pudasjärvi airfield","2020","4","6","03:00","-4.2"
"Pudasjärvi airfield","2020","4","7","03:00","1.4"
"Pudasjärvi airfield","2020","4","8","03:00","3.6"
"Pudasjärvi airfield","2020","4","9","03:00","0.3"
"Pudasjärvi airfield","2020","4","10","03:00","-2.9"
"Pudasjärvi airfield","2020","4","11","03:00","-3.8"
"Pudasjärvi airfield","2020","4","12","03:00","-1.7"
"Pudasjärvi airfield","2020","4","13","03:00","-0.7"
"Pudasjärvi airfield","2020","4","14","03:00","-1.7"
"Pudasjärvi airfield","2020","4","15","03:00","-0.3"
"Pudasjärvi airfield","2020","4","16","03:00","1.2"
"Pudasjärvi airfield","2020","4","17","03:00","0.7"
"Pudasjärvi airfield","2020","4","18","03:00","1.4"
"Pudasjärvi airfield","2020","4","19","03:00","2.4"
"Pudasjärvi airfield","2020","4","20","03:00","4.4"
"Pudasjärvi airfield","2020","4","21","03:00","2.8"
"Pudasjärvi airfield","2020","4","22","03:00","1.3"
"Pudasjärvi airfield","2020","4","23","03:00","0.4"
"Pudasjärvi airfield","2020","4","24","03:00","-0.9"
"Pudasjärvi airfield","2020","4","25","03:00","-0.1"
"Pudasjärvi airfield","2020","4","26","03:00","0.9"
"Pudasjärvi airfield","2020","4","27","03:00","0.1"
"Pudasjärvi airfield","2020","4","28","03:00","-0.5"
"Pudasjärvi airfield","2020","4","29","03:00","-1.1"
"Pudasjärvi airfield","2020","4","30","03:00","-1"
"Pudasjärvi airfield","2020","5","1","03:00","2"
"Pudasjärvi airfield","2020","5","2","03:00","2.9"
"Pudasjärvi airfield","2020","5","3","03:00","4.5"
"Pudasjärvi airfield","2020","5","4","03:00","4.6"
"Pudasjärvi airfield","2020","5","5","03:00","5.3"
"Pudasjärvi airfield","2020","5","6","03:00","4.8"
"Pudasjärvi airfield","2020","5","7","03:00","3.7"
"Pudasjärvi airfield","2020","5","8","03:00","3.2"
"Pudasjärvi airfield","2020","5","9","03:00","3"
"Pudasjärvi airfield","2020","5","10","03:00","3.6"
"Pudasjärvi airfield","2020","5","11","03:00","1"
"Pudasjärvi airfield","2020","5","12","03:00","2.3"
"Pudasjärvi airfield","2020","5","13","03:00","3"
"Pudasjärvi airfield","2020","5","14","03:00","3.2"
"Pudasjärvi airfield","2020","5","15","03:00","2.5"
"Pudasjärvi airfield","2020","5","16","03:00","3.6"
"Pudasjärvi airfield","2020","5","17","03:00","5.1"
"Pudasjärvi airfield","2020","5","18","03:00","4.8"
"Pudasjärvi airfield","2020","5","19","03:00","3.3"
"Pudasjärvi airfield","2020","5","20","03:00","6.2"
"Pudasjärvi airfield","2020","5","21","03:00","6.7"
"Pudasjärvi airfield","2020","5","22","03:00","8.2"
"Pudasjärvi airfield","2020","5","23","03:00","12.7"
"Pudasjärvi airfield","2020","5","24","03:00","13.8"
"Pudasjärvi airfield","2020","5","25","03:00","13.5"
"Pudasjärvi airfield","2020","5","26","03:00","14.2"
"Pudasjärvi airfield","2020","5","27","03:00","12"
"Pudasjärvi airfield","2020","5","28","03:00","10.7"
"Pudasjärvi airfield","2020","5","29","03:00","10.3"
"Pudasjärvi airfield","2020","5","30","03:00","11.3"
"Pudasjärvi airfield","2020","5","31","03:00","11.1"
"Pudasjärvi airfield","2020","6","1","03:00","15.2"
"Pudasjärvi airfield","2020","6","2","03:00","17.3"
"Pudasjärvi airfield","2020","6","3","03:00","16.2"
"Pudasjärvi airfield","2020","6","4","03:00","16.6"
"Pudasjärvi airfield","2020","6","5","03:00","12.8"
"Pudasjärvi airfield","2020","6","6","03:00","15.6"
"Pudasjärvi airfield","2020","6","7","03:00","14.1"
"Pudasjärvi airfield","2020","6","8","03:00","15.7"
"Pudasjärvi airfield","2020","6","9","03:00","14.7"
"Pudasjärvi airfield","2020","6","10","03:00","14.7"
"Pudasjärvi airfield","2020","6","11","03:00","16"
"Pudasjärvi airfield","2020","6","12","03:00","16.2"
"Pudasjärvi airfield","2020","6","13","03:00","17.9"
"Pudasjärvi airfield","2020","6","14","03:00","19.9"
"Pudasjärvi airfield","2020","6","15","03:00","19.3"
"Pudasjärvi airfield","2020","6","16","03:00","15.6"
"Pudasjärvi airfield","2020","6","17","03:00","18.4"
"Pudasjärvi airfield","2020","6","18","03:00","16.9"
"Pudasjärvi airfield","2020","6","19","03:00","16.5"
"Pudasjärvi airfield","2020","6","20","03:00","15.5"
"Pudasjärvi airfield","2020","6","21","03:00","18.5"
"Pudasjärvi airfield","2020","6","22","03:00","20.1"
"Pudasjärvi airfield","2020","6","23","03:00","20.9"
"Pudasjärvi airfield","2020","6","24","03:00","20.1"
"Pudasjärvi airfield","2020","6","25","03:00","20.6"
"Pudasjärvi airfield","2020","6","26","03:00","20"
"Pudasjärvi airfield","2020","6","27","03:00","15.1"
"Pudasjärvi airfield","2020","6","28","03:00","15.1"
"Pudasjärvi airfield","2020","6","29","03:00","17.8"
"Pudasjärvi airfield","2020","6","30","03:00","14"
"Pudasjärvi airfield","2020","7","1","03:00","12.5"
"Pudasjärvi airfield","2020","7","2","03:00","12.6"
"Pudasjärvi airfield","2020","7","3","03:00","11.1"
"Pudasjärvi airfield","2020","7","4","03:00","12.8"
"Pudasjärvi airfield","2020","7","5","03:00","10.6"
"Pudasjärvi airfield","2020","7","6","03:00","10.7"
"Pudasjärvi airfield","2020","7","7","03:00","13.7"
"Pudasjärvi airfield","2020","7","8","03:00","14.2"
"Pudasjärvi airfield","2020","7","9","03:00","13.6"
"Pudasjärvi airfield","2020","7","10","03:00","11.8"
"Pudasjärvi airfield","2020","7","11","03:00","12.4"
"Pudasjärvi airfield","2020","7","12","03:00","14.1"
"Pudasjärvi airfield","2020","7","13","03:00","13"
"Pudasjärvi airfield","2020","7","14","03:00","12.3"
"Pudasjärvi airfield","2020","7","15","03:00","14.2"
"Pudasjärvi airfield","2020","7","16","03:00","17.9"
"Pudasjärvi airfield","2020","7","17","03:00","19"
"Pudasjärvi airfield","2020","7","18","03:00","19.6"
"Pudasjärvi airfield","2020","7","19","03:00","19.3"
"Pudasjärvi airfield","2020","7","20","03:00","20.2"
"Pudasjärvi airfield","2020","7","21","03:00","20"
"Pudasjärvi airfield","2020","7","22","03:00","17.1"
"Pudasjärvi airfield","2020","7","23","03:00","15.9"
