"Observation station","Year","Month","Day","Time [Local time]","Average temperature [°C]"
"Oulu airport","2021","1","1","02:00","-3.2"
"Oulu airport","2021","1","2","02:00","-5"
"Oulu airport","2021","1","3","02:00","-9.6"
"Oulu airport","2021","1","4","02:00","-17.6"
"Oulu airport","2021","1","5","02:00","-15.6"
"Oulu airport","2021","1","6","02:00","-11.1"
"Oulu airport","2021","1","7","02:00","-8.1"
"Oulu airport","2021","1","8","02:00","-7.4"
"Oulu airport","2021","1","9","02:00","-10.7"
"Oulu airport","2021","1","10","02:00","-14.4"
"Oulu airport","2021","1","11","02:00","-8.8"
"Oulu airport","2021","1","12","02:00","-13.4"
"Oulu airport","2021","1","13","02:00","-19.7"
"Oulu airport","2021","1","14","02:00","-25.4"
"Oulu airport","2021","1","15","02:00","-17.7"
"Oulu airport","2021","1","16","02:00","-8.9"
"Oulu airport","2021","1","17","02:00","-4.4"
"Oulu airport","2021","1","18","02:00","-3.7"
"Oulu airport","2021","1","19","02:00","-5"
"Oulu airport","2021","1","20","02:00","-7.4"
"Oulu airport","2021","1","21","02:00","-9.9"
"Oulu airport","2021","1","22","02:00","-10.6"
"Oulu airport","2021","1","23","02:00","-8.2"
"Oulu airport","2021","1","24","02:00","-4.9"
"Oulu airport","2021","1","25","02:00","-4.6"
"Oulu airport","2021","1","26","02:00","-1.9"
"Oulu airport","2021","1","27","02:00","-4.5"
"Oulu airport","2021","1","28","02:00","-8"
"Oulu airport","2021","1","29","02:00","-9.9"
"Oulu airport","2021","1","30","02:00","-9.6"
"Oulu airport","2021","1","31","02:00","-9.5"
"Oulu airport","2021","2","1","02:00","-16.4"
"Oulu airport","2021","2","2","02:00","-21.6"
"Oulu airport","2021","2","3","02:00","-18.5"
"Oulu airport","2021","2","4","02:00","-10.5"
"Oulu airport","2021","2","5","02:00","-13.9"
"Oulu airport","2021","2","6","02:00","-10.4"
"Oulu airport","2021","2","7","02:00","-9.9"
"Oulu airport","2021","2","8","02:00","-16.4"
"Oulu airport","2021","2","9","02:00","-21"
"Oulu airport","2021","2","10","02:00","-22.5"
"Oulu airport","2021","2","11","02:00","-17.8"
"Oulu airport","2021","2","12","02:00","-8.4"
"Oulu airport","2021","2","13","02:00","-11.8"
"Oulu airport","2021","2","14","02:00","-16.5"
"Oulu airport","2021","2","15","02:00","-9.3"
"Oulu airport","2021","2","16","02:00","-12.9"
"Oulu airport","2021","2","17","02:00","-22.1"
"Oulu airport","2021","2","18","02:00","-15.7"
"Oulu airport","2021","2","19","02:00","-10.4"
"Oulu airport","2021","2","20","02:00","-10.8"
"Oulu airport","2021","2","21","02:00","-13"
"Oulu airport","2021","2","22","02:00","-13.9"
"Oulu airport","2021","2","23","02:00","-13.1"
"Oulu airport","2021","2","24","02:00","-9.5"
"Oulu airport","2021","2","25","02:00","0.2"
"Oulu airport","2021","2","26","02:00","-1.1"
"Oulu airport","2021","2","27","02:00","-2.2"
"Oulu airport","2021","2","28","02:00","1.9"
"Oulu airport","2021","3","1","02:00","3.2"
"Oulu airport","2021","3","2","02:00","0.2"
"Oulu airport","2021","3","3","02:00","-1.1"
"Oulu airport","2021","3","4","02:00","-7.5"
"Oulu airport","2021","3","5","02:00","-12"
"Oulu airport","2021","3","6","02:00","-5.9"
"Oulu airport","2021","3","7","02:00","-7.2"
"Oulu airport","2021","3","8","02:00","-12"
"Oulu airport","2021","3","9","02:00","-15.7"
"Oulu airport","2021","3","10","02:00","-18.5"
"Oulu airport","2021","3","11","02:00","-11.7"
"Oulu airport","2021","3","12","02:00","-6.7"
"Oulu airport","2021","3","13","02:00","-4.5"
"Oulu airport","2021","3","14","02:00","-0.4"
"Oulu airport","2021","3","15","02:00","-0.6"
"Oulu airport","2021","3","16","02:00","-3.2"
"Oulu airport","2021","3","17","02:00","-5.6"
"Oulu airport","2021","3","18","02:00","-7.9"
"Oulu airport","2021","3","19","02:00","-8.7"
"Oulu airport","2021","3","20","02:00","0.5"
"Oulu airport","2021","3","21","02:00","-1.1"
"Oulu airport","2021","3","22","02:00","-5.9"
"Oulu airport","2021","3","23","02:00","1.9"
"Oulu airport","2021","3","24","02:00","4.9"
"Oulu airport","2021","3","25","02:00","3.2"
"Oulu airport","2021","3","26","02:00","0.9"
"Oulu airport","2021","3","27","02:00","4.5"
"Oulu airport","2021","3","28","02:00","5"
"Oulu airport","2021","3","29","03:00","2.3"
"Oulu airport","2021","3","30","03:00","3.1"
"Oulu airport","2021","3","31","03:00","2"
"Oulu airport","2021","4","1","03:00","1.6"
"Oulu airport","2021","4","2","03:00","1.6"
"Oulu airport","2021","4","3","03:00","0.8"
"Oulu airport","2021","4","4","03:00","3.8"
"Oulu airport","2021","4","5","03:00","1.7"
"Oulu airport","2021","4","6","03:00","0.2"
"Oulu airport","2021","4","7","03:00","-0.1"
"Oulu airport","2021","4","8","03:00","-1.5"
"Oulu airport","2021","4","9","03:00","0"
"Oulu airport","2021","4","10","03:00","1.6"
"Oulu airport","2021","4","11","03:00","2.1"
"Oulu airport","2021","4","12","03:00","0.7"
"Oulu airport","2021","4","13","03:00","2.6"
"Oulu airport","2021","4","14","03:00","1.3"
"Oulu airport","2021","4","15","03:00","2.4"
"Oulu airport","2021","4","16","03:00","4.1"
"Oulu airport","2021","4","17","03:00","5"
"Oulu airport","2021","4","18","03:00","4.1"
"Oulu airport","2021","4","19","03:00","8.1"
"Oulu airport","2021","4","20","03:00","8.3"
"Oulu airport","2021","4","21","03:00","7.3"
"Oulu airport","2021","4","22","03:00","2.9"
"Oulu airport","2021","4","23","03:00","1.5"
"Oulu airport","2021","4","24","03:00","1.7"
"Oulu airport","2021","4","25","03:00","2.4"
"Oulu airport","2021","4","26","03:00","2.8"
"Oulu airport","2021","4","27","03:00","2"
"Oulu airport","2021","4","28","03:00","0.9"
"Oulu airport","2021","4","29","03:00","1.8"
"Oulu airport","2021","4","30","03:00","1.7"
"Oulu airport","2021","5","1","03:00","-0.1"
"Oulu airport","2021","5","2","03:00","2.2"
"Oulu airport","2021","5","3","03:00","4"
"Oulu airport","2021","5","4","03:00","4.9"
"Oulu airport","2021","5","5","03:00","3.3"
"Oulu airport","2021","5","6","03:00","2.9"
"Oulu airport","2021","5","7","03:00","0.4"
"Oulu airport","2021","5","8","03:00","3"
"Oulu airport","2021","5","9","03:00","5.9"
"Oulu airport","2021","5","10","03:00","7.2"
"Oulu airport","2021","5","11","03:00","10.8"
"Oulu airport","2021","5","12","03:00","17.3"
"Oulu airport","2021","5","13","03:00","18.2"
"Oulu airport","2021","5","14","03:00","14.9"
"Oulu airport","2021","5","15","03:00","14.2"
"Oulu airport","2021","5","16","03:00","10.1"
"Oulu airport","2021","5","17","03:00","14.9"
"Oulu airport","2021","5","18","03:00","12.5"
"Oulu airport","2021","5","19","03:00","10.8"
"Oulu airport","2021","5","20","03:00","8.6"
"Oulu airport","2021","5","21","03:00","6.6"
"Oulu airport","2021","5","22","03:00","6.1"
"Oulu airport","2021","5","23","03:00","5.2"
"Oulu airport","2021","5","24","03:00","5.5"
"Oulu airport","2021","5","25","03:00","7.6"
"Oulu airport","2021","5","26","03:00","9.5"
"Oulu airport","2021","5","27","03:00","6.1"
"Oulu airport","2021","5","28","03:00","7.6"
"Oulu airport","2021","5","29","03:00","7.4"
"Oulu airport","2021","5","30","03:00","9.8"
"Oulu airport","2021","5","31","03:00","11.1"
"Oulu airport","2021","6","1","03:00","14.3"
