-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 12/31/2023 
Location: Latitude  66.83   Longitude 28.65 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 254.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2000,1,1,0.0
2000,1,2,0.0
2000,1,3,0.0
2000,1,4,0.0
2000,1,5,0.01
2000,1,6,0.01
2000,1,7,0.01
2000,1,8,0.02
2000,1,9,0.02
2000,1,10,0.03
2000,1,11,0.02
2000,1,12,0.03
2000,1,13,0.03
2000,1,14,0.04
2000,1,15,0.04
2000,1,16,0.05
2000,1,17,0.05
2000,1,18,0.07
2000,1,19,0.07
2000,1,20,0.09
2000,1,21,0.1
2000,1,22,0.08
2000,1,23,0.12
2000,1,24,0.12
2000,1,25,0.13
2000,1,26,0.15
2000,1,27,0.16
2000,1,28,0.15
2000,1,29,0.18
2000,1,30,0.18
2000,1,31,0.21
2000,2,1,0.19
2000,2,2,0.22
2000,2,3,0.22
2000,2,4,0.25
2000,2,5,0.43
2000,2,6,0.29
2000,2,7,0.36
2000,2,8,0.37
2000,2,9,0.42
2000,2,10,0.54
2000,2,11,0.5
2000,2,12,0.65
2000,2,13,0.44
2000,2,14,0.58
2000,2,15,0.67
2000,2,16,0.75
2000,2,17,0.81
2000,2,18,0.78
2000,2,19,0.94
2000,2,20,0.98
2000,2,21,0.91
2000,2,22,1.13
2000,2,23,1.24
2000,2,24,1.26
2000,2,25,1.32
2000,2,26,1.51
2000,2,27,1.4
2000,2,28,1.33
2000,2,29,1.51
2000,3,1,0.92
2000,3,2,0.91
2000,3,3,1.61
2000,3,4,1.59
2000,3,5,1.9
2000,3,6,1.64
2000,3,7,1.11
2000,3,8,1.58
2000,3,9,1.37
2000,3,10,1.89
2000,3,11,1.52
2000,3,12,2.33
2000,3,13,0.85
2000,3,14,2.29
2000,3,15,2.15
2000,3,16,2.31
2000,3,17,1.66
2000,3,18,0.35
2000,3,19,2.47
2000,3,20,2.54
2000,3,21,2.7
2000,3,22,2.93
2000,3,23,2.62
2000,3,24,2.76
2000,3,25,3.02
2000,3,26,3.29
2000,3,27,3.52
2000,3,28,2.6
2000,3,29,1.89
2000,3,30,2.39
2000,3,31,3.61
2000,4,1,2.7
2000,4,2,4.27
2000,4,3,3.75
2000,4,4,2.56
2000,4,5,2.05
2000,4,6,2.99
2000,4,7,3.63
2000,4,8,4.3
2000,4,9,4.05
2000,4,10,4.5
2000,4,11,5.03
2000,4,12,3.23
2000,4,13,4.33
2000,4,14,3.62
2000,4,15,3.83
2000,4,16,3.77
2000,4,17,2.94
2000,4,18,3.81
2000,4,19,5.12
2000,4,20,4.67
2000,4,21,4.76
2000,4,22,4.34
2000,4,23,5.84
2000,4,24,4.43
2000,4,25,2.56
2000,4,26,4.39
2000,4,27,6.04
2000,4,28,5.97
2000,4,29,4.95
2000,4,30,6.1
2000,5,1,6.54
2000,5,2,4.61
2000,5,3,4.49
2000,5,4,4.92
2000,5,5,3.89
2000,5,6,3.98
2000,5,7,4.43
2000,5,8,5.66
2000,5,9,6.16
2000,5,10,5.35
2000,5,11,4.53
2000,5,12,5.72
2000,5,13,5.05
2000,5,14,7.1
2000,5,15,4.28
2000,5,16,4.48
2000,5,17,2.79
2000,5,18,4.56
2000,5,19,7.03
2000,5,20,7.4
2000,5,21,7.58
2000,5,22,6.73
2000,5,23,6.12
2000,5,24,4.98
2000,5,25,5.12
2000,5,26,3.4
2000,5,27,4.19
2000,5,28,3.65
2000,5,29,6.34
2000,5,30,4.1
2000,5,31,5.24
2000,6,1,6.64
2000,6,2,7.26
2000,6,3,4.69
2000,6,4,5.94
2000,6,5,3.25
2000,6,6,7.83
2000,6,7,6.28
2000,6,8,5.32
2000,6,9,6.08
2000,6,10,7.42
2000,6,11,5.86
2000,6,12,3.13
2000,6,13,4.81
2000,6,14,5.46
2000,6,15,3.63
2000,6,16,3.78
2000,6,17,5.03
2000,6,18,5.02
2000,6,19,2.78
2000,6,20,4.87
2000,6,21,7.67
2000,6,22,2.65
2000,6,23,1.93
2000,6,24,6.36
2000,6,25,6.7
2000,6,26,2.75
2000,6,27,5.43
2000,6,28,3.85
2000,6,29,7.09
2000,6,30,7.28
2000,7,1,2.72
2000,7,2,2.97
2000,7,3,3.37
2000,7,4,2.88
2000,7,5,4.66
2000,7,6,6.83
2000,7,7,6.8
2000,7,8,3.38
2000,7,9,5.58
2000,7,10,3.51
2000,7,11,6.66
2000,7,12,5.38
2000,7,13,3.18
2000,7,14,6.4
2000,7,15,4.21
2000,7,16,3.24
2000,7,17,4.38
2000,7,18,4.26
2000,7,19,6.89
2000,7,20,5.55
2000,7,21,5.23
2000,7,22,3.69
2000,7,23,3.44
2000,7,24,2.42
2000,7,25,6.88
2000,7,26,7.11
2000,7,27,7.08
2000,7,28,6.73
2000,7,29,5.18
2000,7,30,6.61
2000,7,31,5.86
2000,8,1,4.96
2000,8,2,1.65
2000,8,3,4.32
2000,8,4,4.98
2000,8,5,6.35
2000,8,6,4.83
2000,8,7,2.61
2000,8,8,3.79
2000,8,9,4.85
2000,8,10,3.19
2000,8,11,3.16
2000,8,12,2.62
2000,8,13,4.58
2000,8,14,3.68
2000,8,15,4.2
2000,8,16,2.74
2000,8,17,2.7
2000,8,18,2.04
2000,8,19,2.24
2000,8,20,2.25
2000,8,21,3.36
2000,8,22,2.71
2000,8,23,2.07
2000,8,24,3.11
2000,8,25,3.65
2000,8,26,3.34
2000,8,27,3.72
2000,8,28,3.43
2000,8,29,3.02
2000,8,30,1.98
2000,8,31,3.16
