"Observation station","Year","Month","Day","Time [Local time]","Average temperature [°C]"
"Salla parish","2011","1","1","02:00","-13.6"
"Salla parish","2011","1","2","02:00","-15.5"
"Salla parish","2011","1","3","02:00","-18.9"
"Salla parish","2011","1","4","02:00","-25"
"Salla parish","2011","1","5","02:00","-23.4"
"Salla parish","2011","1","6","02:00","-17.3"
"Salla parish","2011","1","7","02:00","-14"
"Salla parish","2011","1","8","02:00","-11.5"
"Salla parish","2011","1","9","02:00","-7.2"
"Salla parish","2011","1","10","02:00","-3.2"
"Salla parish","2011","1","11","02:00","-4.7"
"Salla parish","2011","1","12","02:00","-9.3"
"Salla parish","2011","1","13","02:00","-11.3"
"Salla parish","2011","1","14","02:00","-15.8"
"Salla parish","2011","1","15","02:00","-22.2"
"Salla parish","2011","1","16","02:00","-16.6"
"Salla parish","2011","1","17","02:00","-11.9"
"Salla parish","2011","1","18","02:00","-7.7"
"Salla parish","2011","1","19","02:00","-7.5"
"Salla parish","2011","1","20","02:00","-8.7"
"Salla parish","2011","1","21","02:00","-10.1"
"Salla parish","2011","1","22","02:00","-8.1"
"Salla parish","2011","1","23","02:00","-12.8"
"Salla parish","2011","1","24","02:00","-13.2"
"Salla parish","2011","1","25","02:00","-20.6"
"Salla parish","2011","1","26","02:00","-14.9"
"Salla parish","2011","1","27","02:00","-12.2"
"Salla parish","2011","1","28","02:00","-3.8"
"Salla parish","2011","1","29","02:00","-8.9"
"Salla parish","2011","1","30","02:00","-17.6"
"Salla parish","2011","1","31","02:00","-7.4"
"Salla parish","2011","2","1","02:00","-5.5"
"Salla parish","2011","2","2","02:00","-7.9"
"Salla parish","2011","2","3","02:00","-9.2"
"Salla parish","2011","2","4","02:00","-12.8"
"Salla parish","2011","2","5","02:00","-16.7"
"Salla parish","2011","2","6","02:00","-22"
"Salla parish","2011","2","7","02:00","-21.1"
"Salla parish","2011","2","8","02:00","-10.5"
"Salla parish","2011","2","9","02:00","-19.5"
"Salla parish","2011","2","10","02:00","-29.5"
"Salla parish","2011","2","11","02:00","-22.8"
"Salla parish","2011","2","12","02:00","-25.9"
"Salla parish","2011","2","13","02:00","-30.9"
"Salla parish","2011","2","14","02:00","-27.5"
"Salla parish","2011","2","15","02:00","-28"
"Salla parish","2011","2","16","02:00","-28.4"
"Salla parish","2011","2","17","02:00","-33.2"
"Salla parish","2011","2","18","02:00","-28.9"
"Salla parish","2011","2","19","02:00","-19.8"
"Salla parish","2011","2","20","02:00","-19.7"
"Salla parish","2011","2","21","02:00","-21.8"
"Salla parish","2011","2","22","02:00","-15"
"Salla parish","2011","2","23","02:00","-19.8"
"Salla parish","2011","2","24","02:00","-20.4"
"Salla parish","2011","2","25","02:00","-15.7"
"Salla parish","2011","2","26","02:00","-6.1"
"Salla parish","2011","2","27","02:00","-1.9"
"Salla parish","2011","2","28","02:00","-3.4"
"Salla parish","2011","3","1","02:00","-7.7"
"Salla parish","2011","3","2","02:00","-1.4"
"Salla parish","2011","3","3","02:00","-0.1"
"Salla parish","2011","3","4","02:00","-1.7"
"Salla parish","2011","3","5","02:00","-6"
"Salla parish","2011","3","6","02:00","-9.7"
"Salla parish","2011","3","7","02:00","-6.1"
"Salla parish","2011","3","8","02:00","0.2"
"Salla parish","2011","3","9","02:00","-0.9"
"Salla parish","2011","3","10","02:00","-1.4"
"Salla parish","2011","3","11","02:00","-2.2"
"Salla parish","2011","3","12","02:00","-4"
"Salla parish","2011","3","13","02:00","-7.5"
"Salla parish","2011","3","14","02:00","-7.3"
"Salla parish","2011","3","15","02:00","-12"
"Salla parish","2011","3","16","02:00","-6.4"
"Salla parish","2011","3","17","02:00","-4.7"
"Salla parish","2011","3","18","02:00","-1.7"
"Salla parish","2011","3","19","02:00","-1.5"
"Salla parish","2011","3","20","02:00","-3"
"Salla parish","2011","3","21","02:00","-0.8"
"Salla parish","2011","3","22","02:00","-0.1"
"Salla parish","2011","3","23","02:00","-6.7"
"Salla parish","2011","3","24","02:00","-8"
"Salla parish","2011","3","25","02:00","-10.2"
"Salla parish","2011","3","26","02:00","-11.4"
"Salla parish","2011","3","27","02:00","-10"
"Salla parish","2011","3","28","03:00","-12.3"
"Salla parish","2011","3","29","03:00","-12.7"
"Salla parish","2011","3","30","03:00","-9.6"
"Salla parish","2011","3","31","03:00","-6.2"
"Salla parish","2011","4","1","03:00","-3.9"
"Salla parish","2011","4","2","03:00","0.5"
"Salla parish","2011","4","3","03:00","3.1"
"Salla parish","2011","4","4","03:00","2.1"
"Salla parish","2011","4","5","03:00","0.8"
"Salla parish","2011","4","6","03:00","2"
"Salla parish","2011","4","7","03:00","1"
"Salla parish","2011","4","8","03:00","1"
"Salla parish","2011","4","9","03:00","2.5"
"Salla parish","2011","4","10","03:00","1.8"
"Salla parish","2011","4","11","03:00","1.6"
"Salla parish","2011","4","12","03:00","2.2"
"Salla parish","2011","4","13","03:00","1.1"
"Salla parish","2011","4","14","03:00","1.9"
"Salla parish","2011","4","15","03:00","4.1"
"Salla parish","2011","4","16","03:00","5.1"
"Salla parish","2011","4","17","03:00","3.1"
"Salla parish","2011","4","18","03:00","2"
"Salla parish","2011","4","19","03:00","0.9"
