"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Kuopio Savilahti","2005","6","22","00:00","-"
"Kuopio Savilahti","2005","6","23","00:00","-"
"Kuopio Savilahti","2005","6","24","00:00","Clear (0/8)"
"Kuopio Savilahti","2005","6","25","00:00","Clear (1/8)"
"Kuopio Savilahti","2005","6","26","00:00","Partly cloudy (5/8)"
"Kuopio Savilahti","2005","6","27","00:00","Clear (0/8)"
"Kuopio Savilahti","2005","6","28","00:00","Mostly cloudy (7/8)"
"Kuopio Savilahti","2005","6","29","00:00","Clear (0/8)"
"Kuopio Savilahti","2005","6","30","00:00","Mostly cloudy (7/8)"
"Kuopio Savilahti","2005","7","1","00:00","Clear (0/8)"
"Kuopio Savilahti","2005","7","2","00:00","Clear (0/8)"
"Kuopio Savilahti","2005","7","3","00:00","Clear (0/8)"
"Kuopio Savilahti","2005","7","4","00:00","Clear (0/8)"
"Kuopio Savilahti","2005","7","5","00:00","Clear (0/8)"
"Kuopio Savilahti","2005","7","6","00:00","Clear (0/8)"
"Kuopio Savilahti","2005","7","7","00:00","Mostly clear (3/8)"
"Kuopio Savilahti","2005","7","8","00:00","Clear (0/8)"
"Kuopio Savilahti","2005","7","9","00:00","Clear (1/8)"
"Kuopio Savilahti","2005","7","10","00:00","Clear (0/8)"
"Kuopio Savilahti","2005","7","11","00:00","Mostly clear (3/8)"
"Kuopio Savilahti","2005","7","12","00:00","Partly cloudy (5/8)"
"Kuopio Savilahti","2005","7","13","00:00","Clear (0/8)"
"Kuopio Savilahti","2005","7","14","00:00","Mostly cloudy (7/8)"
"Kuopio Savilahti","2005","7","15","00:00","Clear (0/8)"
"Kuopio Savilahti","2005","7","16","00:00","Mostly cloudy (7/8)"
"Kuopio Savilahti","2005","7","17","00:00","Clear (0/8)"
"Kuopio Savilahti","2005","7","18","00:00","Clear (0/8)"
"Kuopio Savilahti","2005","7","19","00:00","Clear (1/8)"
"Kuopio Savilahti","2005","7","20","00:00","Partly cloudy (5/8)"
"Kuopio Savilahti","2005","7","21","00:00","Clear (1/8)"
"Kuopio Savilahti","2005","7","22","00:00","Mostly clear (3/8)"
"Kuopio Savilahti","2005","7","23","00:00","Partly cloudy (5/8)"
"Kuopio Savilahti","2005","7","24","00:00","Mostly clear (3/8)"
