"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Hyvinkää Hyvinkäänkylä","2007","8","7","08:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","8","08:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","9","08:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","10","08:40","Partly cloudy (4/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","11","08:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","12","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","13","08:40","Mostly clear (2/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","14","08:40","Mostly clear (2/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","15","08:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","16","08:40","Partly cloudy (4/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","17","08:40","Mostly cloudy (7/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","18","08:40","Clear (1/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","19","08:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","20","08:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","21","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","22","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","23","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","24","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","25","08:40","Mostly cloudy (7/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","26","08:40","Mostly clear (2/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","27","08:40","Clear (1/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","28","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","29","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","30","08:40","Mostly clear (2/8)"
"Hyvinkää Hyvinkäänkylä","2007","8","31","08:40","Mostly clear (2/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","1","08:40","Mostly clear (2/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","2","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","3","08:40","Mostly cloudy (6/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","4","08:40","Mostly cloudy (6/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","5","08:40","Mostly clear (2/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","6","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","7","08:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","8","08:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","9","08:40","Mostly cloudy (7/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","10","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","11","08:40","Mostly clear (2/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","12","08:40","Mostly cloudy (7/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","13","08:40","Mostly cloudy (6/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","14","08:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","15","08:40","Partly cloudy (4/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","16","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","17","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","18","08:40","Mostly cloudy (7/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","19","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","20","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","21","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","22","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","23","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","24","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","25","08:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","26","08:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","27","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","28","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","29","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","9","30","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","1","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","2","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","3","08:40","Cloudiness cannot be determined (9/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","4","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","5","08:40","Cloudiness cannot be determined (9/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","6","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","7","08:40","Mostly clear (3/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","8","08:40","Mostly cloudy (6/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","9","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","10","08:40","Partly cloudy (5/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","11","08:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","12","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","13","08:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","14","08:40","Partly cloudy (5/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","15","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","16","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","17","08:40","Mostly cloudy (7/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","18","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","19","08:40","Mostly clear (3/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","21","08:40","Mostly clear (2/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","22","08:40","Clear (1/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","23","08:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","24","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","25","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","26","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","27","08:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","28","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","29","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","30","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","10","31","07:40","Mostly cloudy (7/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","1","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","2","07:40","Clear (1/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","3","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","4","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","5","07:40","Mostly clear (3/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","6","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","7","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","8","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","9","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","10","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","11","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","12","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","13","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","14","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","15","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","16","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","17","07:40","Mostly cloudy (7/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","18","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","19","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","20","07:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","21","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","22","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","23","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","24","07:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","25","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","26","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","27","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","28","07:40","Mostly cloudy (7/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","29","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","11","30","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","1","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","2","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","3","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","4","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","5","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","6","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","7","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","8","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","9","07:40","Mostly cloudy (7/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","10","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","11","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","12","07:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","13","07:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","14","07:40","Partly cloudy (4/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","15","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","16","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","17","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","18","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","19","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","20","07:40","Mostly cloudy (6/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","21","07:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","22","07:40","Partly cloudy (4/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","23","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","24","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","25","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","26","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","27","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","28","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","29","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","30","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2007","12","31","07:40","Mostly cloudy (7/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","1","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","2","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","3","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","4","07:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","5","07:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","6","07:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","7","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","8","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","9","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","10","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","11","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","12","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","13","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","14","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","15","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","16","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","17","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","18","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","19","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","20","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","21","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","22","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","23","07:40","Mostly cloudy (7/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","24","07:40","Mostly cloudy (7/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","25","07:40","Mostly clear (2/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","26","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","27","07:40","Mostly clear (2/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","28","07:40","Clear (0/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","29","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","30","07:40","Mostly cloudy (6/8)"
"Hyvinkää Hyvinkäänkylä","2008","1","31","07:40","Mostly cloudy (6/8)"
"Hyvinkää Hyvinkäänkylä","2008","2","1","07:40","Mostly cloudy (6/8)"
"Hyvinkää Hyvinkäänkylä","2008","2","2","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","2","3","07:40","Mostly cloudy (7/8)"
"Hyvinkää Hyvinkäänkylä","2008","2","4","07:40","Cloudy (8/8)"
"Hyvinkää Hyvinkäänkylä","2008","2","5","07:40","Cloudy (8/8)"
