"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Vihti Maasoja","2000","1","1","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","1","2","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","1","3","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","1","4","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","1","5","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","1","6","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","1","7","08:00","Cloudiness cannot be determined (9/8)"
"Vihti Maasoja","2000","1","8","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","1","9","08:00","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","1","10","08:00","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","1","11","08:00","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","1","12","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","1","13","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","1","14","08:00","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","1","15","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","1","16","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","1","17","08:00","Clear (1/8)"
"Vihti Maasoja","2000","1","18","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","1","19","08:00","Clear (1/8)"
"Vihti Maasoja","2000","1","20","08:00","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","1","21","08:00","Clear (0/8)"
"Vihti Maasoja","2000","1","22","08:00","Clear (0/8)"
"Vihti Maasoja","2000","1","23","08:00","Clear (1/8)"
"Vihti Maasoja","2000","1","24","08:00","Clear (1/8)"
"Vihti Maasoja","2000","1","25","08:00","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","1","26","08:00","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","1","27","08:00","Clear (1/8)"
"Vihti Maasoja","2000","1","28","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","1","30","08:00","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","1","31","08:00","Clear (1/8)"
"Vihti Maasoja","2000","2","1","08:00","Clear (1/8)"
"Vihti Maasoja","2000","2","2","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","2","3","08:00","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","2","4","08:00","Partly cloudy (5/8)"
"Vihti Maasoja","2000","2","5","08:00","Clear (1/8)"
"Vihti Maasoja","2000","2","6","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","2","7","08:00","Partly cloudy (5/8)"
"Vihti Maasoja","2000","2","8","08:00","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","2","9","08:00","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","2","10","08:00","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","2","11","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","2","12","08:00","Clear (1/8)"
"Vihti Maasoja","2000","2","13","08:00","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","2","14","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","2","15","08:00","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","2","16","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","2","17","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","2","18","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","2","19","08:00","Cloudy (8/8)"
"Vihti Maasoja","2000","2","20","08:00","Clear (1/8)"
"Vihti Maasoja","2000","2","21","08:00","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","2","22","08:00","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","2","23","08:00","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","2","24","08:00","Mostly clear (3/8)"
"Vihti Maasoja","2000","2","25","07:40","Cloudy (8/8)"
"Vihti Maasoja","2000","2","26","07:40","Cloudy (8/8)"
"Vihti Maasoja","2000","2","27","07:40","Cloudy (8/8)"
"Vihti Maasoja","2000","2","28","07:40","Cloudy (8/8)"
"Vihti Maasoja","2000","2","29","07:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","3","1","07:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","3","2","07:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","3","3","07:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","3","4","07:40","Cloudy (8/8)"
"Vihti Maasoja","2000","3","5","07:40","Mostly clear (3/8)"
"Vihti Maasoja","2000","3","6","07:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","3","7","07:40","Clear (1/8)"
"Vihti Maasoja","2000","3","8","07:40","Clear (1/8)"
"Vihti Maasoja","2000","3","9","07:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","3","10","07:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","3","11","07:40","Clear (1/8)"
"Vihti Maasoja","2000","3","12","07:40","Mostly clear (2/8)"
"Vihti Maasoja","2000","3","13","07:40","Partly cloudy (5/8)"
"Vihti Maasoja","2000","3","14","07:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","3","15","07:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","3","16","07:40","Partly cloudy (4/8)"
"Vihti Maasoja","2000","3","17","07:40","Cloudy (8/8)"
"Vihti Maasoja","2000","3","18","07:40","Cloudy (8/8)"
"Vihti Maasoja","2000","3","19","07:40","Cloudy (8/8)"
"Vihti Maasoja","2000","3","20","07:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","3","21","07:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","3","22","07:40","Cloudy (8/8)"
"Vihti Maasoja","2000","3","23","07:40","Partly cloudy (4/8)"
"Vihti Maasoja","2000","3","24","07:40","Mostly clear (2/8)"
"Vihti Maasoja","2000","3","25","07:40","Clear (1/8)"
"Vihti Maasoja","2000","3","26","08:40","Clear (1/8)"
"Vihti Maasoja","2000","3","27","08:40","Clear (1/8)"
"Vihti Maasoja","2000","3","28","08:40","Clear (0/8)"
"Vihti Maasoja","2000","3","29","08:40","Clear (0/8)"
"Vihti Maasoja","2000","3","30","08:40","Mostly clear (3/8)"
"Vihti Maasoja","2000","3","31","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","4","1","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","4","2","08:40","Partly cloudy (5/8)"
"Vihti Maasoja","2000","4","3","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","4","4","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","4","5","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","4","6","08:40","Clear (0/8)"
"Vihti Maasoja","2000","4","7","08:40","Clear (0/8)"
"Vihti Maasoja","2000","4","8","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","4","9","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","4","10","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","4","11","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","4","12","08:40","Partly cloudy (5/8)"
"Vihti Maasoja","2000","4","13","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","4","14","08:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","4","15","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","4","16","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","4","17","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","4","18","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","4","19","08:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","4","20","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","4","21","08:40","Clear (0/8)"
"Vihti Maasoja","2000","4","22","08:40","Clear (1/8)"
"Vihti Maasoja","2000","4","23","08:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","4","24","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","4","25","08:40","Partly cloudy (4/8)"
"Vihti Maasoja","2000","4","26","08:40","Mostly clear (2/8)"
"Vihti Maasoja","2000","4","27","08:40","Clear (1/8)"
"Vihti Maasoja","2000","4","28","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","4","29","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","4","30","08:40","Mostly clear (2/8)"
"Vihti Maasoja","2000","5","1","08:40","Clear (0/8)"
"Vihti Maasoja","2000","5","2","08:40","Clear (1/8)"
"Vihti Maasoja","2000","5","3","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","5","4","08:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","5","5","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","5","6","08:40","Clear (0/8)"
"Vihti Maasoja","2000","5","7","08:40","Clear (1/8)"
"Vihti Maasoja","2000","5","8","08:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","5","9","08:40","Clear (0/8)"
"Vihti Maasoja","2000","5","10","08:40","Clear (0/8)"
"Vihti Maasoja","2000","5","11","08:40","Clear (1/8)"
"Vihti Maasoja","2000","5","12","08:40","Partly cloudy (4/8)"
"Vihti Maasoja","2000","5","13","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","5","14","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","5","15","08:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","5","16","08:40","Clear (0/8)"
"Vihti Maasoja","2000","5","17","08:40","Partly cloudy (4/8)"
"Vihti Maasoja","2000","5","18","08:40","Clear (1/8)"
"Vihti Maasoja","2000","5","19","08:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","5","20","08:40","Clear (1/8)"
"Vihti Maasoja","2000","5","21","08:40","Clear (1/8)"
"Vihti Maasoja","2000","5","22","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","5","23","08:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","5","24","08:40","Clear (0/8)"
"Vihti Maasoja","2000","5","25","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","5","26","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","5","27","08:40","Clear (1/8)"
"Vihti Maasoja","2000","5","28","08:40","Partly cloudy (4/8)"
"Vihti Maasoja","2000","5","29","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","5","30","08:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","5","31","08:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","6","1","08:40","Clear (1/8)"
"Vihti Maasoja","2000","6","2","08:40","Partly cloudy (5/8)"
"Vihti Maasoja","2000","6","3","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","6","4","08:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","6","5","08:40","Clear (0/8)"
"Vihti Maasoja","2000","6","6","08:40","Mostly clear (3/8)"
"Vihti Maasoja","2000","6","7","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","6","8","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","6","9","08:40","Clear (1/8)"
"Vihti Maasoja","2000","6","10","08:40","Clear (0/8)"
"Vihti Maasoja","2000","6","11","08:40","Clear (1/8)"
"Vihti Maasoja","2000","6","12","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","6","13","08:40","Clear (0/8)"
"Vihti Maasoja","2000","6","14","08:40","Mostly clear (3/8)"
"Vihti Maasoja","2000","6","15","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","6","16","08:40","Clear (1/8)"
"Vihti Maasoja","2000","6","17","08:40","Partly cloudy (5/8)"
"Vihti Maasoja","2000","6","18","08:40","Clear (0/8)"
"Vihti Maasoja","2000","6","19","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","6","20","08:40","Mostly clear (2/8)"
"Vihti Maasoja","2000","6","21","08:40","Mostly clear (2/8)"
"Vihti Maasoja","2000","6","22","08:40","Mostly clear (2/8)"
"Vihti Maasoja","2000","6","23","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","6","24","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","6","25","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","6","26","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","6","27","08:40","Partly cloudy (4/8)"
"Vihti Maasoja","2000","6","28","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","6","29","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","6","30","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","7","1","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","7","2","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","7","3","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","7","4","08:40","Clear (1/8)"
"Vihti Maasoja","2000","7","5","08:40","Clear (1/8)"
"Vihti Maasoja","2000","7","6","08:40","Clear (1/8)"
"Vihti Maasoja","2000","7","7","08:40","Partly cloudy (4/8)"
"Vihti Maasoja","2000","7","8","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","7","9","08:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","7","10","08:40","Mostly clear (3/8)"
"Vihti Maasoja","2000","7","11","08:40","Mostly clear (3/8)"
"Vihti Maasoja","2000","7","12","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","7","13","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","7","14","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","7","15","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","7","16","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","7","17","08:40","Clear (1/8)"
"Vihti Maasoja","2000","7","18","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","7","19","08:40","Partly cloudy (5/8)"
"Vihti Maasoja","2000","7","20","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","7","21","08:40","Partly cloudy (4/8)"
"Vihti Maasoja","2000","7","22","08:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","7","23","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","7","24","08:40","Clear (1/8)"
"Vihti Maasoja","2000","7","25","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","7","26","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","7","27","08:40","Clear (0/8)"
"Vihti Maasoja","2000","7","28","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","7","29","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","7","30","08:40","Partly cloudy (5/8)"
"Vihti Maasoja","2000","7","31","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","8","1","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","8","2","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","8","3","08:40","Clear (1/8)"
"Vihti Maasoja","2000","8","4","08:40","Partly cloudy (5/8)"
"Vihti Maasoja","2000","8","5","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","8","6","08:40","Mostly clear (3/8)"
"Vihti Maasoja","2000","8","7","08:40","Mostly clear (3/8)"
"Vihti Maasoja","2000","8","8","08:40","Clear (1/8)"
"Vihti Maasoja","2000","8","9","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","8","10","08:40","Partly cloudy (5/8)"
"Vihti Maasoja","2000","8","11","08:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2000","8","12","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","8","13","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","8","14","08:40","Clear (1/8)"
"Vihti Maasoja","2000","8","15","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","8","16","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","8","17","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","8","18","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","8","19","08:40","Clear (1/8)"
"Vihti Maasoja","2000","8","20","08:40","Mostly clear (3/8)"
"Vihti Maasoja","2000","8","21","08:40","Cloudy (8/8)"
"Vihti Maasoja","2000","8","22","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","8","23","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","8","24","08:40","Clear (1/8)"
"Vihti Maasoja","2000","8","25","08:40","Partly cloudy (4/8)"
"Vihti Maasoja","2000","8","26","08:40","Clear (0/8)"
"Vihti Maasoja","2000","8","27","08:40","Clear (1/8)"
"Vihti Maasoja","2000","8","28","08:40","Clear (1/8)"
"Vihti Maasoja","2000","8","29","08:40","Partly cloudy (5/8)"
"Vihti Maasoja","2000","8","30","08:40","Clear (1/8)"
"Vihti Maasoja","2000","8","31","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2000","9","1","08:40","Cloudy (8/8)"
