-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 03/01/2024 
Location: Latitude  60.38   Longitude 24.36 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 91.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2000,1,1,0.24
2000,1,2,0.23
2000,1,3,0.25
2000,1,4,0.24
2000,1,5,0.25
2000,1,6,0.18
2000,1,7,0.23
2000,1,8,0.26
2000,1,9,0.28
2000,1,10,0.36
2000,1,11,0.26
2000,1,12,0.22
2000,1,13,0.23
2000,1,14,0.24
2000,1,15,0.31
2000,1,16,0.25
2000,1,17,0.37
2000,1,18,0.36
2000,1,19,0.38
2000,1,20,0.32
2000,1,21,0.44
2000,1,22,0.53
2000,1,23,0.59
2000,1,24,0.45
2000,1,25,0.37
2000,1,26,0.54
2000,1,27,0.52
2000,1,28,0.64
2000,1,29,0.45
2000,1,30,0.65
2000,1,31,0.79
2000,2,1,0.67
2000,2,2,0.46
2000,2,3,0.66
2000,2,4,0.71
2000,2,5,0.81
2000,2,6,0.68
2000,2,7,0.59
2000,2,8,0.7
2000,2,9,1.1
2000,2,10,1.14
2000,2,11,1.08
2000,2,12,0.91
2000,2,13,0.59
2000,2,14,1.24
2000,2,15,1.0
2000,2,16,1.1
2000,2,17,0.71
2000,2,18,1.55
2000,2,19,1.7
2000,2,20,1.36
2000,2,21,1.02
2000,2,22,1.18
2000,2,23,1.89
2000,2,24,1.44
2000,2,25,1.14
2000,2,26,2.1
2000,2,27,1.01
2000,2,28,0.63
2000,2,29,1.44
2000,3,1,0.75
2000,3,2,1.13
2000,3,3,0.23
2000,3,4,0.83
2000,3,5,1.96
2000,3,6,1.05
2000,3,7,1.96
2000,3,8,2.76
2000,3,9,2.82
2000,3,10,2.27
2000,3,11,2.79
2000,3,12,2.82
2000,3,13,1.6
2000,3,14,1.99
2000,3,15,1.58
2000,3,16,2.19
2000,3,17,2.26
2000,3,18,2.06
2000,3,19,2.48
2000,3,20,3.14
2000,3,21,3.25
2000,3,22,3.38
2000,3,23,3.19
2000,3,24,3.95
2000,3,25,3.86
2000,3,26,4.2
2000,3,27,4.19
2000,3,28,4.3
2000,3,29,4.17
2000,3,30,3.72
2000,3,31,3.38
2000,4,1,3.23
2000,4,2,3.92
2000,4,3,2.34
2000,4,4,3.76
2000,4,5,2.84
2000,4,6,4.26
2000,4,7,4.93
2000,4,8,3.02
2000,4,9,3.12
2000,4,10,2.43
2000,4,11,3.04
2000,4,12,4.95
2000,4,13,3.67
2000,4,14,2.26
2000,4,15,3.88
2000,4,16,2.95
2000,4,17,3.41
2000,4,18,2.83
2000,4,19,4.3
2000,4,20,4.22
2000,4,21,5.33
2000,4,22,3.79
2000,4,23,3.77
2000,4,24,4.45
2000,4,25,4.84
2000,4,26,5.32
2000,4,27,4.99
2000,4,28,4.14
2000,4,29,5.02
2000,4,30,6.19
2000,5,1,6.51
2000,5,2,5.75
2000,5,3,1.71
2000,5,4,4.67
2000,5,5,4.21
2000,5,6,6.89
2000,5,7,6.46
2000,5,8,5.08
2000,5,9,6.5
2000,5,10,6.54
2000,5,11,4.83
2000,5,12,6.41
2000,5,13,3.42
2000,5,14,6.1
2000,5,15,6.51
2000,5,16,7.06
2000,5,17,5.33
2000,5,18,6.94
2000,5,19,6.78
2000,5,20,7.31
2000,5,21,6.23
2000,5,22,4.81
2000,5,23,3.9
2000,5,24,6.39
2000,5,25,3.89
2000,5,26,2.05
2000,5,27,7.57
2000,5,28,7.14
2000,5,29,3.45
2000,5,30,4.56
2000,5,31,6.41
2000,6,1,6.12
2000,6,2,3.96
2000,6,3,5.97
2000,6,4,5.48
2000,6,5,7.65
2000,6,6,4.05
2000,6,7,1.29
2000,6,8,2.78
2000,6,9,7.83
2000,6,10,8.45
2000,6,11,8.01
2000,6,12,3.11
2000,6,13,7.88
2000,6,14,7.78
2000,6,15,7.27
2000,6,16,6.76
2000,6,17,5.86
2000,6,18,7.88
2000,6,19,3.56
2000,6,20,6.09
2000,6,21,8.09
2000,6,22,7.9
2000,6,23,6.09
2000,6,24,6.03
2000,6,25,5.43
2000,6,26,3.8
2000,6,27,5.32
2000,6,28,7.03
2000,6,29,5.77
2000,6,30,3.15
2000,7,1,6.68
2000,7,2,4.28
2000,7,3,5.43
2000,7,4,6.94
2000,7,5,6.11
2000,7,6,5.4
2000,7,7,6.35
2000,7,8,5.06
2000,7,9,4.47
2000,7,10,5.86
2000,7,11,7.17
2000,7,12,6.09
2000,7,13,2.69
2000,7,14,5.22
2000,7,15,2.04
2000,7,16,2.94
2000,7,17,4.96
2000,7,18,5.24
2000,7,19,4.61
2000,7,20,5.22
2000,7,21,4.67
2000,7,22,2.34
2000,7,23,5.37
2000,7,24,5.83
2000,7,25,1.95
2000,7,26,1.93
2000,7,27,6.85
2000,7,28,1.37
2000,7,29,3.33
2000,7,30,4.09
2000,7,31,5.44
2000,8,1,3.9
2000,8,2,4.61
2000,8,3,5.27
2000,8,4,4.33
2000,8,5,4.99
2000,8,6,4.58
2000,8,7,5.71
2000,8,8,4.66
2000,8,9,4.21
2000,8,10,4.26
2000,8,11,5.56
2000,8,12,2.81
2000,8,13,4.36
2000,8,14,5.41
2000,8,15,1.67
2000,8,16,4.07
2000,8,17,3.46
2000,8,18,2.89
2000,8,19,5.01
2000,8,20,4.85
2000,8,21,2.94
2000,8,22,3.38
2000,8,23,2.62
2000,8,24,3.77
2000,8,25,4.08
2000,8,26,4.67
2000,8,27,5.0
2000,8,28,4.7
2000,8,29,3.59
2000,8,30,4.07
2000,8,31,2.56
2000,9,1,3.78
2000,9,2,3.98
2000,9,3,2.62
2000,9,4,1.67
2000,9,5,4.33
2000,9,6,3.79
2000,9,7,3.81
2000,9,8,0.97
2000,9,9,3.45
2000,9,10,3.24
2000,9,11,2.9
2000,9,12,3.45
2000,9,13,3.34
2000,9,14,2.24
2000,9,15,3.31
2000,9,16,3.6
2000,9,17,3.52
2000,9,18,3.28
2000,9,19,3.47
2000,9,20,3.21
2000,9,21,3.08
2000,9,22,3.2
2000,9,23,3.0
2000,9,24,2.98
2000,9,25,1.72
2000,9,26,2.64
2000,9,27,1.78
2000,9,28,2.4
2000,9,29,1.33
2000,9,30,2.23
2000,10,1,2.57
2000,10,2,2.26
2000,10,3,0.37
2000,10,4,0.58
2000,10,5,1.04
2000,10,6,1.51
2000,10,7,1.41
2000,10,8,0.88
2000,10,9,1.97
2000,10,10,1.16
2000,10,11,1.11
2000,10,12,0.91
2000,10,13,1.09
2000,10,14,0.94
2000,10,15,1.3
2000,10,16,1.12
2000,10,17,1.66
2000,10,18,1.14
2000,10,19,1.0
2000,10,20,0.97
2000,10,21,0.84
2000,10,22,0.74
2000,10,23,1.04
2000,10,24,0.68
2000,10,25,1.03
2000,10,26,0.94
2000,10,27,0.89
2000,10,28,0.72
2000,10,29,0.61
2000,10,30,0.59
2000,10,31,0.56
2000,11,1,0.83
2000,11,2,0.74
2000,11,3,0.66
2000,11,4,0.62
2000,11,5,0.58
2000,11,6,0.7
2000,11,7,0.58
2000,11,8,0.78
2000,11,9,0.57
2000,11,10,0.56
2000,11,11,0.71
2000,11,12,0.63
2000,11,13,0.46
2000,11,14,0.43
2000,11,15,0.41
2000,11,16,0.57
2000,11,17,0.44
2000,11,18,0.37
2000,11,19,0.47
2000,11,20,0.36
2000,11,21,0.35
2000,11,22,0.5
2000,11,23,0.37
2000,11,24,0.33
2000,11,25,0.41
2000,11,26,0.3
2000,11,27,0.41
2000,11,28,0.25
2000,11,29,0.26
2000,11,30,0.24
2000,12,1,0.36
2000,12,2,0.22
2000,12,3,0.28
2000,12,4,0.22
2000,12,5,0.2
2000,12,6,0.2
2000,12,7,0.3
2000,12,8,0.21
2000,12,9,0.18
2000,12,10,0.2
2000,12,11,0.2
2000,12,12,0.21
2000,12,13,0.17
2000,12,14,0.23
2000,12,15,0.19
2000,12,16,0.19
2000,12,17,0.24
2000,12,18,0.16
2000,12,19,0.21
2000,12,20,0.23
2000,12,21,0.24
2000,12,22,0.15
2000,12,23,0.22
2000,12,24,0.23
2000,12,25,0.18
2000,12,26,0.2
2000,12,27,0.2
2000,12,28,0.17
2000,12,29,0.17
2000,12,30,0.25
2000,12,31,0.17
2001,1,1,0.1
2001,1,2,0.11
2001,1,3,0.11
2001,1,4,0.14
2001,1,5,0.13
2001,1,6,0.15
2001,1,7,0.14
2001,1,8,0.14
2001,1,9,0.11
2001,1,10,0.16
2001,1,11,0.24
2001,1,12,0.26
2001,1,13,0.18
2001,1,14,0.25
2001,1,15,0.22
2001,1,16,0.39
2001,1,17,0.24
2001,1,18,0.2
2001,1,19,0.14
2001,1,20,0.26
2001,1,21,0.42
2001,1,22,0.25
2001,1,23,0.26
2001,1,24,0.2
2001,1,25,0.18
2001,1,26,0.26
2001,1,27,0.21
2001,1,28,0.3
2001,1,29,0.33
2001,1,30,0.39
2001,1,31,0.47
2001,2,1,0.56
2001,2,2,0.95
2001,2,3,0.98
2001,2,4,0.59
2001,2,5,0.65
2001,2,6,0.32
2001,2,7,0.4
2001,2,8,0.33
