"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Sotkamo Kuolaniemi","2009","9","29","03:00","-1"
"Sotkamo Kuolaniemi","2009","9","30","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","1","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","2","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","3","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","4","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","5","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","6","03:00","0"
"Sotkamo Kuolaniemi","2009","10","7","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","8","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","9","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","10","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","11","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","12","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","13","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","14","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","15","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","16","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","17","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","18","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","19","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","20","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","21","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","22","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","23","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","24","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","25","03:00","-1"
"Sotkamo Kuolaniemi","2009","10","26","02:00","-1"
"Sotkamo Kuolaniemi","2009","10","27","02:00","-1"
"Sotkamo Kuolaniemi","2009","10","28","02:00","-1"
"Sotkamo Kuolaniemi","2009","10","29","02:00","-1"
"Sotkamo Kuolaniemi","2009","10","30","02:00","-1"
"Sotkamo Kuolaniemi","2009","10","31","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","1","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","2","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","3","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","4","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","5","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","6","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","7","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","8","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","9","02:00","0"
"Sotkamo Kuolaniemi","2009","11","10","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","11","02:00","8"
"Sotkamo Kuolaniemi","2009","11","12","02:00","9"
"Sotkamo Kuolaniemi","2009","11","13","02:00","9"
"Sotkamo Kuolaniemi","2009","11","14","02:00","8"
"Sotkamo Kuolaniemi","2009","11","15","02:00","9"
"Sotkamo Kuolaniemi","2009","11","16","02:00","9"
"Sotkamo Kuolaniemi","2009","11","17","02:00","8"
"Sotkamo Kuolaniemi","2009","11","18","02:00","9"
"Sotkamo Kuolaniemi","2009","11","19","02:00","8"
"Sotkamo Kuolaniemi","2009","11","20","02:00","7"
"Sotkamo Kuolaniemi","2009","11","21","02:00","4"
"Sotkamo Kuolaniemi","2009","11","22","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","23","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","24","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","25","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","26","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","27","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","28","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","29","02:00","-1"
"Sotkamo Kuolaniemi","2009","11","30","02:00","-1"
"Sotkamo Kuolaniemi","2009","12","1","02:00","-1"
"Sotkamo Kuolaniemi","2009","12","2","02:00","-1"
"Sotkamo Kuolaniemi","2009","12","3","02:00","-1"
"Sotkamo Kuolaniemi","2009","12","4","02:00","-1"
"Sotkamo Kuolaniemi","2009","12","5","02:00","-1"
"Sotkamo Kuolaniemi","2009","12","6","02:00","0"
"Sotkamo Kuolaniemi","2009","12","7","02:00","0"
"Sotkamo Kuolaniemi","2009","12","8","02:00","0"
"Sotkamo Kuolaniemi","2009","12","9","02:00","0"
"Sotkamo Kuolaniemi","2009","12","10","02:00","0"
"Sotkamo Kuolaniemi","2009","12","11","02:00","-1"
"Sotkamo Kuolaniemi","2009","12","12","02:00","2"
"Sotkamo Kuolaniemi","2009","12","13","02:00","3"
"Sotkamo Kuolaniemi","2009","12","14","02:00","3"
"Sotkamo Kuolaniemi","2009","12","15","02:00","4"
"Sotkamo Kuolaniemi","2009","12","16","02:00","5"
"Sotkamo Kuolaniemi","2009","12","17","02:00","7"
"Sotkamo Kuolaniemi","2009","12","18","02:00","4"
"Sotkamo Kuolaniemi","2009","12","19","02:00","6"
"Sotkamo Kuolaniemi","2009","12","20","02:00","10"
"Sotkamo Kuolaniemi","2009","12","21","02:00","9"
"Sotkamo Kuolaniemi","2009","12","22","02:00","14"
"Sotkamo Kuolaniemi","2009","12","23","02:00","14"
"Sotkamo Kuolaniemi","2009","12","24","02:00","19"
"Sotkamo Kuolaniemi","2009","12","25","02:00","18"
