"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Sotkamo Saviaho","2008","8","2","03:00","-1"
"Sotkamo Saviaho","2008","8","3","03:00","-1"
"Sotkamo Saviaho","2008","8","4","03:00","-1"
"Sotkamo Saviaho","2008","8","5","03:00","-1"
"Sotkamo Saviaho","2008","8","6","03:00","-1"
"Sotkamo Saviaho","2008","8","7","03:00","-1"
"Sotkamo Saviaho","2008","8","8","03:00","-1"
"Sotkamo Saviaho","2008","8","9","03:00","-1"
"Sotkamo Saviaho","2008","8","10","03:00","-1"
"Sotkamo Saviaho","2008","8","11","03:00","-1"
"Sotkamo Saviaho","2008","8","12","03:00","-1"
"Sotkamo Saviaho","2008","8","13","03:00","-1"
"Sotkamo Saviaho","2008","8","14","03:00","-1"
"Sotkamo Saviaho","2008","8","15","03:00","-1"
"Sotkamo Saviaho","2008","8","16","03:00","-1"
"Sotkamo Saviaho","2008","8","17","03:00","-1"
"Sotkamo Saviaho","2008","8","18","03:00","-1"
"Sotkamo Saviaho","2008","8","19","03:00","-1"
"Sotkamo Saviaho","2008","8","20","03:00","-1"
"Sotkamo Saviaho","2008","8","21","03:00","-1"
"Sotkamo Saviaho","2008","8","22","03:00","-1"
"Sotkamo Saviaho","2008","8","23","03:00","-1"
"Sotkamo Saviaho","2008","8","24","03:00","-1"
"Sotkamo Saviaho","2008","8","25","03:00","-1"
"Sotkamo Saviaho","2008","8","26","03:00","-1"
"Sotkamo Saviaho","2008","8","27","03:00","-1"
"Sotkamo Saviaho","2008","8","28","03:00","-1"
"Sotkamo Saviaho","2008","8","29","03:00","-1"
"Sotkamo Saviaho","2008","8","30","03:00","-1"
"Sotkamo Saviaho","2008","8","31","03:00","-1"
"Sotkamo Saviaho","2008","9","1","03:00","-1"
"Sotkamo Saviaho","2008","9","2","03:00","-1"
"Sotkamo Saviaho","2008","9","3","03:00","-1"
"Sotkamo Saviaho","2008","9","4","03:00","-1"
"Sotkamo Saviaho","2008","9","5","03:00","-1"
"Sotkamo Saviaho","2008","9","6","03:00","-1"
"Sotkamo Saviaho","2008","9","7","03:00","-1"
"Sotkamo Saviaho","2008","9","8","03:00","-1"
"Sotkamo Saviaho","2008","9","9","03:00","-1"
"Sotkamo Saviaho","2008","9","10","03:00","-1"
"Sotkamo Saviaho","2008","9","11","03:00","-1"
"Sotkamo Saviaho","2008","9","12","03:00","-1"
"Sotkamo Saviaho","2008","9","13","03:00","-1"
"Sotkamo Saviaho","2008","9","14","03:00","-1"
"Sotkamo Saviaho","2008","9","15","03:00","-1"
"Sotkamo Saviaho","2008","9","16","03:00","-1"
"Sotkamo Saviaho","2008","9","17","03:00","-1"
"Sotkamo Saviaho","2008","9","18","03:00","-1"
"Sotkamo Saviaho","2008","9","19","03:00","-1"
"Sotkamo Saviaho","2008","9","20","03:00","-1"
"Sotkamo Saviaho","2008","9","21","03:00","-1"
"Sotkamo Saviaho","2008","9","22","03:00","-1"
"Sotkamo Saviaho","2008","9","23","03:00","-1"
"Sotkamo Saviaho","2008","9","24","03:00","-1"
"Sotkamo Saviaho","2008","9","25","03:00","-1"
"Sotkamo Saviaho","2008","9","26","03:00","-1"
"Sotkamo Saviaho","2008","9","27","03:00","-1"
"Sotkamo Saviaho","2008","9","28","03:00","-1"
"Sotkamo Saviaho","2008","9","29","03:00","-1"
"Sotkamo Saviaho","2008","9","30","03:00","-1"
"Sotkamo Saviaho","2008","10","1","03:00","-1"
"Sotkamo Saviaho","2008","10","2","03:00","-1"
"Sotkamo Saviaho","2008","10","3","03:00","-1"
"Sotkamo Saviaho","2008","10","4","03:00","-1"
"Sotkamo Saviaho","2008","10","5","03:00","-1"
"Sotkamo Saviaho","2008","10","6","03:00","-1"
"Sotkamo Saviaho","2008","10","7","03:00","-1"
"Sotkamo Saviaho","2008","10","8","03:00","-1"
"Sotkamo Saviaho","2008","10","9","03:00","-1"
"Sotkamo Saviaho","2008","10","10","03:00","-1"
"Sotkamo Saviaho","2008","10","11","03:00","-1"
"Sotkamo Saviaho","2008","10","12","03:00","-1"
"Sotkamo Saviaho","2008","10","13","03:00","-1"
"Sotkamo Saviaho","2008","10","14","03:00","-1"
"Sotkamo Saviaho","2008","10","15","03:00","-1"
"Sotkamo Saviaho","2008","10","16","03:00","-1"
"Sotkamo Saviaho","2008","10","17","03:00","-1"
"Sotkamo Saviaho","2008","10","18","03:00","-1"
"Sotkamo Saviaho","2008","10","19","03:00","-1"
"Sotkamo Saviaho","2008","10","20","03:00","-1"
"Sotkamo Saviaho","2008","10","21","03:00","-1"
"Sotkamo Saviaho","2008","10","22","03:00","-1"
"Sotkamo Saviaho","2008","10","23","03:00","-1"
"Sotkamo Saviaho","2008","10","24","03:00","-1"
"Sotkamo Saviaho","2008","10","25","03:00","-1"
"Sotkamo Saviaho","2008","10","26","03:00","-1"
"Sotkamo Saviaho","2008","10","27","02:00","-1"
"Sotkamo Saviaho","2008","10","28","02:00","-1"
"Sotkamo Saviaho","2008","10","29","02:00","-1"
"Sotkamo Saviaho","2008","10","30","02:00","-1"
"Sotkamo Saviaho","2008","10","31","02:00","2"
"Sotkamo Saviaho","2008","11","1","02:00","6"
"Sotkamo Saviaho","2008","11","2","02:00","5"
"Sotkamo Saviaho","2008","11","3","02:00","5"
"Sotkamo Saviaho","2008","11","4","02:00","4"
"Sotkamo Saviaho","2008","11","5","02:00","1"
"Sotkamo Saviaho","2008","11","6","02:00","1"
"Sotkamo Saviaho","2008","11","7","02:00","1"
"Sotkamo Saviaho","2008","11","8","02:00","0"
"Sotkamo Saviaho","2008","11","9","02:00","0"
"Sotkamo Saviaho","2008","11","10","02:00","0"
"Sotkamo Saviaho","2008","11","11","02:00","-1"
"Sotkamo Saviaho","2008","11","12","02:00","-1"
"Sotkamo Saviaho","2008","11","13","02:00","-1"
"Sotkamo Saviaho","2008","11","14","02:00","0"
"Sotkamo Saviaho","2008","11","15","02:00","1"
"Sotkamo Saviaho","2008","11","16","02:00","0"
"Sotkamo Saviaho","2008","11","17","02:00","0"
"Sotkamo Saviaho","2008","11","18","02:00","1"
"Sotkamo Saviaho","2008","11","19","02:00","3"
"Sotkamo Saviaho","2008","11","20","02:00","4"
"Sotkamo Saviaho","2008","11","21","02:00","4"
"Sotkamo Saviaho","2008","11","22","02:00","4"
"Sotkamo Saviaho","2008","11","23","02:00","5"
